policy,time_s,fraction_not_fallen
narrow,0.00,1.000000
narrow,0.02,1.000000
narrow,0.04,1.000000
narrow,0.06,1.000000
narrow,0.08,1.000000
narrow,0.10,1.000000
narrow,0.12,1.000000
narrow,0.14,1.000000
narrow,0.16,1.000000
narrow,0.18,1.000000
narrow,0.20,1.000000
narrow,0.22,1.000000
narrow,0.24,1.000000
narrow,0.26,1.000000
narrow,0.28,1.000000
narrow,0.30,1.000000
narrow,0.32,1.000000
narrow,0.34,1.000000
narrow,0.36,1.000000
narrow,0.38,1.000000
narrow,0.40,1.000000
narrow,0.42,1.000000
narrow,0.44,1.000000
narrow,0.46,1.000000
narrow,0.48,1.000000
narrow,0.50,1.000000
narrow,0.52,1.000000
narrow,0.54,1.000000
narrow,0.56,1.000000
narrow,0.58,1.000000
narrow,0.60,1.000000
narrow,0.62,1.000000
narrow,0.64,1.000000
narrow,0.66,1.000000
narrow,0.68,1.000000
narrow,0.70,1.000000
narrow,0.72,1.000000
narrow,0.74,1.000000
narrow,0.76,1.000000
narrow,0.78,1.000000
narrow,0.80,1.000000
narrow,0.82,1.000000
narrow,0.84,1.000000
narrow,0.86,1.000000
narrow,0.88,1.000000
narrow,0.90,1.000000
narrow,0.92,1.000000
narrow,0.94,1.000000
narrow,0.96,1.000000
narrow,0.98,1.000000
narrow,1.00,1.000000
narrow,1.02,1.000000
narrow,1.04,1.000000
narrow,1.06,1.000000
narrow,1.08,1.000000
narrow,1.10,1.000000
narrow,1.12,1.000000
narrow,1.14,1.000000
narrow,1.16,1.000000
narrow,1.18,1.000000
narrow,1.20,1.000000
narrow,1.22,1.000000
narrow,1.24,1.000000
narrow,1.26,1.000000
narrow,1.28,1.000000
narrow,1.30,1.000000
narrow,1.32,1.000000
narrow,1.34,1.000000
narrow,1.36,1.000000
narrow,1.38,1.000000
narrow,1.40,1.000000
narrow,1.42,1.000000
narrow,1.44,1.000000
narrow,1.46,1.000000
narrow,1.48,1.000000
narrow,1.50,1.000000
narrow,1.52,1.000000
narrow,1.54,1.000000
narrow,1.56,1.000000
narrow,1.58,1.000000
narrow,1.60,1.000000
narrow,1.62,1.000000
narrow,1.64,1.000000
narrow,1.66,1.000000
narrow,1.68,1.000000
narrow,1.70,1.000000
narrow,1.72,1.000000
narrow,1.74,1.000000
narrow,1.76,1.000000
narrow,1.78,1.000000
narrow,1.80,1.000000
narrow,1.82,1.000000
narrow,1.84,1.000000
narrow,1.86,1.000000
narrow,1.88,1.000000
narrow,1.90,1.000000
narrow,1.92,1.000000
narrow,1.94,1.000000
narrow,1.96,1.000000
narrow,1.98,1.000000
narrow,2.00,1.000000
narrow,2.02,1.000000
narrow,2.04,1.000000
narrow,2.06,1.000000
narrow,2.08,1.000000
narrow,2.10,1.000000
narrow,2.12,1.000000
narrow,2.14,1.000000
narrow,2.16,1.000000
narrow,2.18,1.000000
narrow,2.20,1.000000
narrow,2.22,1.000000
narrow,2.24,1.000000
narrow,2.26,1.000000
narrow,2.28,1.000000
narrow,2.30,1.000000
narrow,2.32,1.000000
narrow,2.34,1.000000
narrow,2.36,1.000000
narrow,2.38,1.000000
narrow,2.40,1.000000
narrow,2.42,1.000000
narrow,2.44,1.000000
narrow,2.46,1.000000
narrow,2.48,1.000000
narrow,2.50,1.000000
narrow,2.52,1.000000
