gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
trot,0.25,0.48,0.1,0.5,32,0,0.0,0,,32,0.1813574441096879,0.0,0.0,0.5253092447916666,0
trot,0.25,0.48,0.1,0.625,32,32,1.0,1,0.211058295280444,32,0.211058295280444,1.0,1.0,0.625,0
trot,0.25,0.48,0.1,0.75,32,32,1.0,1,0.3328495337433372,32,0.3328495337433372,1.0,1.0,0.75,0
trot,0.25,0.48,0.2,0.5,32,32,1.0,1,0.1936332692967879,32,0.1936332692967879,1.0,1.0,0.5208333333333333,0
trot,0.25,0.48,0.2,0.625,32,32,1.0,1,0.2249333746823595,32,0.2249333746823595,1.0,1.0,0.625,0
trot,0.25,0.48,0.2,0.75,32,32,1.0,1,0.33532381327955235,32,0.33532381327955235,1.0,1.0,0.75,0
trot,0.25,0.48,0.3,0.5,32,32,1.0,1,0.21798727082432595,32,0.21798727082432595,1.0,1.0,0.5208333333333333,0
trot,0.25,0.48,0.3,0.625,32,32,1.0,1,0.25032883421709307,32,0.25032883421709307,1.0,1.0,0.625,0
trot,0.25,0.48,0.3,0.75,32,32,1.0,1,0.3350403392773441,32,0.3350403392773441,1.0,1.0,0.75,0
trot,0.25,0.48,0.4,0.5,32,32,1.0,1,0.26106097324370775,32,0.26106097324370775,1.0,1.0,0.5208333333333333,0
trot,0.25,0.48,0.4,0.625,32,32,1.0,1,0.2686560141362877,32,0.2686560141362877,1.0,1.0,0.625,0
trot,0.25,0.48,0.4,0.75,32,32,1.0,1,0.3538426130432701,32,0.3538426130432701,1.0,1.0,0.75,0
trot,0.25,0.48,0.5,0.5,32,9,0.28125,0,,32,0.3061596389042347,1.0,0.28125,0.5237630208333333,0
trot,0.25,0.48,0.5,0.625,32,32,1.0,1,0.29405381163130906,32,0.29405381163130906,1.0,1.0,0.625,0
trot,0.25,0.48,0.5,0.75,32,32,1.0,1,0.37742187249613346,32,0.37742187249613346,1.0,1.0,0.75,0
trot,0.3,0.48,0.1,0.5,32,0,0.0,0,,32,0.16578926096499674,0.0,0.0,0.525146484375,0
trot,0.3,0.48,0.1,0.625,32,32,1.0,1,0.2006532666663283,32,0.2006532666663283,1.0,1.0,0.625,0
trot,0.3,0.48,0.1,0.75,32,32,1.0,1,0.3139213325706277,32,0.3139213325706277,1.0,1.0,0.75,0
trot,0.3,0.48,0.2,0.5,32,32,1.0,1,0.1836740099443981,32,0.1836740099443981,1.0,1.0,0.5208333333333333,0
trot,0.3,0.48,0.2,0.625,32,32,1.0,1,0.21461447090854524,32,0.21461447090854524,1.0,1.0,0.625,0
trot,0.3,0.48,0.2,0.75,32,32,1.0,1,0.3151823133665904,32,0.3151823133665904,1.0,1.0,0.75,0
