gait,speed,command_df,valid_widths,widths,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.25,0.5,3,5,,0.21798727082432595,0.8,0.65625
trot,0.25,0.625,5,5,0.25032883421709307,0.25032883421709307,1.0,1.0
trot,0.25,0.75,5,5,0.33532381327955235,0.33532381327955235,1.0,1.0
trot,0.3,0.5,4,5,,0.1967514686069336,0.8,0.8
trot,0.3,0.625,5,5,0.22857330249407076,0.22857330249407076,1.0,1.0
trot,0.3,0.75,5,5,0.3151823133665904,0.3151823133665904,1.0,1.0
trot,0.35,0.5,4,5,,0.1878246262249179,0.825,0.825
trot,0.35,0.625,5,5,0.2181041982901289,0.2181041982901289,1.0,1.0
trot,0.35,0.75,5,5,0.3040648205249165,0.3040648205249165,1.0,1.0
trot,0.4,0.5,4,5,,0.18388227066781176,0.8,0.8
trot,0.4,0.625,5,5,0.21656254946641007,0.21656254946641007,1.0,1.0
trot,0.4,0.75,5,5,0.29793983670149826,0.29793983670149826,1.0,1.0
walk,0.25,0.75,0,5,,0.4477474838979227,1.0,0.0
walk,0.25,0.8,5,5,0.49469106645709415,0.49469106645709415,1.0,1.0
walk,0.25,0.85,5,5,0.5203849711486278,0.5203849711486278,1.0,1.0
walk,0.25,0.9,0,5,,0.4953274336986132,1.0,0.0
walk,0.3,0.75,0,5,,0.4238299172642245,1.0,0.0
walk,0.3,0.8,5,5,0.4632767010943938,0.4632767010943938,1.0,1.0
walk,0.3,0.85,5,5,0.49272098894273353,0.49272098894273353,1.0,1.0
walk,0.3,0.9,0,5,,0.47337334252169444,1.0,0.0
walk,0.35,0.75,0,5,,0.40730332988932494,1.0,0.0
walk,0.35,0.8,5,5,0.4504526347548715,0.4504526347548715,1.0,1.0
walk,0.35,0.85,4,5,,0.47654006625306194,1.0,0.925
walk,0.35,0.9,0,5,,0.4682701736353007,1.0,0.0
walk,0.4,0.75,0,5,,0.3990822779956224,1.0,0.0
walk,0.4,0.8,5,5,0.44409102640695397,0.44409102640695397,1.0,1.0
walk,0.4,0.85,3,5,,0.46975983301821334,1.0,0.6
walk,0.4,0.9,0,5,,0.4606916595567129,1.0,0.0
