gait,speed,period,step_width,command_df,trials,valid_energy_trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,finite_cot_trials,positive_mechanical_cot_median_all,periodic_rate,compliance_rate,achieved_df_mean,out_of_training_support
trot,0.25,0.48,0.1,0.5,32,0,0.0,0,,32,0.21318943053043943,0.21875,0.0,0.5338541666666666,0
trot,0.25,0.48,0.1,0.625,32,32,1.0,1,0.3038305030113938,32,0.3038305030113938,1.0,1.0,0.625,0
trot,0.25,0.48,0.1,0.75,32,31,0.96875,1,0.3958663232174969,32,0.3958030827334058,1.0,0.96875,0.7395833333333334,0
trot,0.25,0.48,0.2,0.5,32,32,1.0,1,0.2198833302490795,32,0.2198833302490795,1.0,1.0,0.5254720052083333,0
trot,0.25,0.48,0.2,0.625,32,32,1.0,1,0.2929556468202062,32,0.2929556468202062,1.0,1.0,0.6229654947916666,0
trot,0.25,0.48,0.2,0.75,32,0,0.0,0,,32,0.3846598460164979,1.0,0.0,0.7395833333333334,0
trot,0.25,0.48,0.3,0.5,32,32,1.0,1,0.2408338005763656,32,0.2408338005763656,1.0,1.0,0.5208333333333333,0
trot,0.25,0.48,0.3,0.625,32,32,1.0,1,0.28408506322380894,32,0.28408506322380894,1.0,1.0,0.625,0
trot,0.25,0.48,0.3,0.75,32,0,0.0,0,,32,0.372658792718534,1.0,0.0,0.7395833333333334,0
trot,0.25,0.48,0.4,0.5,32,0,0.0,0,,32,0.28610911578663123,0.0,0.0,0.53125,0
trot,0.25,0.48,0.4,0.625,32,32,1.0,1,0.2928153129336703,32,0.2928153129336703,1.0,1.0,0.625,0
trot,0.25,0.48,0.4,0.75,32,32,1.0,1,0.36708845223055964,32,0.36708845223055964,1.0,1.0,0.7395833333333334,0
trot,0.25,0.48,0.5,0.5,32,0,0.0,0,,32,0.3425775768734556,0.96875,0.0,0.5416666666666667,0
trot,0.25,0.48,0.5,0.625,32,32,1.0,1,0.328061042161637,32,0.328061042161637,1.0,1.0,0.625,0
trot,0.25,0.48,0.5,0.75,32,32,1.0,1,0.3882168423196959,32,0.3882168423196959,1.0,1.0,0.74560546875,0
trot,0.3,0.48,0.1,0.5,32,7,0.21875,0,,32,0.20131721390758395,0.4375,0.25,0.5301920572916666,0
trot,0.3,0.48,0.1,0.625,32,32,1.0,1,0.2707929604963504,32,0.2707929604963504,1.0,1.0,0.625,0
trot,0.3,0.48,0.1,0.75,32,0,0.0,0,,32,0.36419586878429944,1.0,0.0,0.7395833333333334,0
trot,0.3,0.48,0.2,0.5,32,32,1.0,1,0.20358422661332803,32,0.20358422661332803,1.0,1.0,0.5295410156249999,0
trot,0.3,0.48,0.2,0.625,32,32,1.0,1,0.2641492788906728,32,0.2641492788906728,1.0,1.0,0.625,0
