gait,speed,command_df,valid_widths,widths,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.25,0.5,2,5,,0.2408338005763656,0.6375,0.4
trot,0.25,0.625,5,5,0.2929556468202062,0.2929556468202062,1.0,1.0
trot,0.25,0.75,3,5,,0.3846598460164979,1.0,0.59375
trot,0.3,0.5,2,5,,0.22283078757420421,0.6375,0.45
trot,0.3,0.625,3,5,,0.269787321677251,0.88125,1.0
trot,0.3,0.75,2,5,,0.3539337997418893,1.0,0.4
trot,0.35,0.5,3,5,,0.2132071608324132,0.79375,0.58125
trot,0.35,0.625,5,5,0.2516533602923317,0.2516533602923317,0.9875,1.0
trot,0.35,0.75,1,5,,0.33393117319766485,1.0,0.2125
trot,0.4,0.5,2,5,,0.19611790331194814,0.66875,0.375
trot,0.4,0.625,5,5,0.2359830240856276,0.2359830240856276,1.0,1.0
trot,0.4,0.75,0,5,,0.3203957202628791,1.0,0.0
walk,0.25,0.75,0,5,,0.38341497235302446,1.0,0.0
walk,0.25,0.8,5,5,0.4416629318851121,0.4416629318851121,1.0,1.0
walk,0.25,0.85,5,5,0.4874102010256992,0.4874102010256992,1.0,0.98125
walk,0.25,0.9,0,5,,0.4887623072424191,1.0,0.0
walk,0.3,0.75,0,5,,0.36767386602874363,1.0,0.0
walk,0.3,0.8,5,5,0.4280700575584794,0.4280700575584794,1.0,1.0
walk,0.3,0.85,4,5,,0.47129269780862926,1.0,0.8
walk,0.3,0.9,0,5,,0.47110056951090906,1.0,0.0
walk,0.35,0.75,0,5,,0.3518721806209361,1.0,0.0
walk,0.35,0.8,5,5,0.42696581315596827,0.42696581315596827,1.0,1.0
walk,0.35,0.85,1,5,,0.4656510758956973,1.0,0.2
walk,0.35,0.9,0,5,,0.46187233201883054,1.0,0.0
walk,0.4,0.75,0,5,,0.34977235495397807,1.0,0.0
walk,0.4,0.8,5,5,0.4310981172658162,0.4310981172658162,1.0,1.0
walk,0.4,0.85,0,5,,0.46581865776037007,1.0,0.0
walk,0.4,0.9,0,5,,0.4585053721481671,1.0,0.0
