seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
3000000,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2117492271638229,0.46131567864928086,0.5625,0.08333333333333337,0.10428101261361286,0.004281012613612856,0.003357873996208001,0.006766641275802004,0.2427231144780914,0.00727688552190861,0.04290012484775072,0.05044746398925781,0.08034672821119047,0.08764231950044632,0.012334132015115956,0.07347412353254223,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05397529391428599,1.0,0.9166666666666666,0.5416666666666666,52,-0.053471376976141564,1.0,0.9166666666666666,0.5833333333333334,56,0.04862792996157493,1.0,0.8333333333333334,0.5833333333333334,56,-0.05248742437522326,1.0,0.8333333333333334
3000001,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21429939109696172,0.45251626095370856,0.5625,0.08333333333333337,0.10428495822054754,0.00428495822054753,0.003412716977226618,0.006770754180615766,0.24251072745149335,0.007489272548506648,0.05259943642100517,0.06075477600097656,0.08085279408089006,0.0879817083477974,0.012491889815432514,0.07357159383130384,1.0,0.8333333333333334,0,0.5416666666666666,52,0.054159702016757086,1.0,0.9166666666666666,0.5416666666666666,52,-0.05332230862516623,1.0,0.9166666666666666,0.5833333333333334,56,0.048470415108438046,1.0,0.8333333333333334,0.5833333333333334,56,-0.0526174906907337,1.0,0.8333333333333334
3000002,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2129738243823468,0.45878159990474504,0.5625,0.08333333333333337,0.1046513463498431,0.0046513463498431,0.0033961023610842578,0.006776231143157927,0.24196918215602636,0.008030817843973637,0.027403972240227982,0.03484053537249565,0.07971032400110802,0.08658000081777573,0.011842287079800668,0.07382897522127059,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05410498445137189,1.0,0.9166666666666666,0.5416666666666666,52,-0.05362414167477535,1.0,0.9166666666666666,0.5833333333333334,56,0.04889836548162358,1.0,0.8333333333333334,0.5833333333333334,56,-0.05267520109191537,1.0,0.8333333333333334
3000003,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2139925130285301,0.459603450626707,0.5625,0.08333333333333337,0.10472777100269692,0.004727771002696918,0.003395823618284538,0.006791984617787721,0.24197422619909048,0.00802577380090952,0.03632513019128858,0.04416942596435547,0.07875067250597194,0.08554599434137344,0.011874829381254061,0.07373867031066746,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05406325733145842,1.0,0.9166666666666666,0.5416666666666666,52,-0.053755558597353786,1.0,0.9166666666666666,0.5833333333333334,56,0.04901260357084019,1.0,0.8333333333333334,0.5833333333333334,56,-0.05262412250574146,1.0,0.8333333333333334
3000004,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21349163728132875,0.4594939904545971,0.5625,0.08333333333333337,0.10473796705827935,0.004737967058279349,0.00341558523813856,0.006787705423388007,0.2419112197433909,0.008088780256609113,0.052142552446283914,0.06008338928222656,0.07869100930117481,0.08575506508350372,0.011977694377865855,0.07395812949814204,1.0,0.8333333333333334,0,0.5416666666666666,52,0.0541503384995919,1.0,0.9166666666666666,0.5416666666666666,52,-0.05367728222448092,1.0,0.9166666666666666,0.5833333333333334,56,0.04895495689873185,1.0,0.8333333333333334,0.5833333333333334,56,-0.05269335649375405,1.0,0.8333333333333334
3000005,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21316095432669294,0.4573073889301002,0.5625,0.08333333333333337,0.10441781701468913,0.004417817014689129,0.003436033653126066,0.0067934801860246785,0.2422676969630023,0.007732303036997706,0.045951579333761004,0.05404090881347656,0.08035889869139665,0.08765128999948502,0.012611156613806157,0.07364549397680824,1.0,0.8333333333333334,0,0.5416666666666666,52,0.054187275612583526,1.0,0.9166666666666666,0.5416666666666666,52,-0.053418371110008314,1.0,0.9166666666666666,0.5833333333333334,56,0.04856057072590504,1.0,0.8333333333333334,0.5833333333333334,56,-0.05266941658088139,1.0,0.8333333333333334
3000006,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2158969750371194,0.4603600888131053,0.5625,0.08333333333333337,0.10475069109432317,0.004750691094323162,0.0034389688735725447,0.006796097421708204,0.2418053432678183,0.008194656732181699,0.02300524873205041,0.030811309814453125,0.07943036201410462,0.08615659922361374,0.012239510954574977,0.07380169465951919,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05420424122936451,1.0,0.9166666666666666,0.5416666666666666,52,-0.053647005500701755,1.0,0.9166666666666666,0.5833333333333334,56,0.04890581878966519,1.0,0.8333333333333334,0.5833333333333334,56,-0.052744316668914895,1.0,0.8333333333333334
3000007,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.2167387456333399,0.46144579318787354,0.5625,0.08333333333333337,0.10438830834291465,0.0043883083429146486,0.0034744944843043985,0.00682007741803924,0.24231886894752583,0.007681131052474172,0.046491155035720266,0.055045563727617264,0.08003483231732642,0.08710621297359467,0.012938592183784015,0.07337111596503014,1.0,0.8333333333333334,0,0.5416666666666666,52,0.05431073123159317,1.0,0.9166666666666666,0.5416666666666666,52,-0.053335145402413145,1.0,0.9166666666666666,0.5833333333333334,56,0.04845219850540161,1.0,0.8333333333333334,0.5833333333333334,56,-0.05267854154642139,1.0,0.8333333333333334
3000008,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21470476655997467,0.4614720425006653,0.5625,0.08333333333333337,0.1047758380524241,0.004775838052424097,0.003436667050982077,0.006801513207998745,0.24182435031980276,0.008175649680197239,0.0420756307121439,0.05007743835449219,0.07950183168489712,0.08631642162799835,0.01214245361205827,0.07359385834239383,1.0,0.8333333333333334,0,0.5416666666666666,52,0.054196241240088754,1.0,0.9166666666666666,0.5416666666666666,52,-0.05370135232806206,1.0,0.9166666666666666,0.5833333333333334,56,0.04894781505156841,1.0,0.8333333333333334,0.5833333333333334,56,-0.05270626748512898,1.0,0.8333333333333334
3000009,0.1,0.25,0.48,trot,0.5,0,0,0,0.0,0,1,0.21293466292471822,0.46228243872167396,0.5625,0.09375,0.10409089929742207,0.004090899297422068,0.0034224386785694444,0.006786543004758033,0.24264616224293908,0.007353837757060916,0.019867803069296405,0.02825927734375,0.08102469767340414,0.08792920410633087,0.013237482120413509,0.07225352816457828,1.0,0.8125,0,0.5416666666666666,52,0.0541322839518006,1.0,0.9166666666666666,0.5416666666666666,52,-0.053153523100683324,1.0,0.9166666666666666,0.5729166666666666,55,0.04824986010789871,1.0,0.8541666666666666,0.59375,57,-0.05264613143446153,1.0,0.8125
