step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.1,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,trot,0.55,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,trot,0.6,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,trot,0.65,32,32,32,1.0,1.0,0.2731536782058456
0.1,0.25,0.48,trot,0.7,32,32,32,1.0,1.0,0.29706673934465766
0.1,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.30836659698707836
0.1,0.25,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,trot,0.55,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,trot,0.6,32,32,32,1.0,1.0,0.2286990522455612
0.1,0.3,0.48,trot,0.65,32,32,32,1.0,1.0,0.24870685547149057
0.1,0.3,0.48,trot,0.7,32,32,32,1.0,1.0,0.2678184086769628
0.1,0.3,0.48,trot,0.75,32,32,32,1.0,1.0,0.2857609957799934
0.1,0.3,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.75,32,32,32,1.0,1.0,0.34968334748917135
0.1,0.35,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,trot,0.55,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,trot,0.6,32,32,32,1.0,1.0,0.2153875357210767
0.1,0.35,0.48,trot,0.65,32,32,32,1.0,1.0,0.23221600144795002
0.1,0.35,0.48,trot,0.7,32,32,32,1.0,1.0,0.24928071207052535
0.1,0.35,0.48,trot,0.75,32,32,32,1.0,1.0,0.2661555306664852
0.1,0.35,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.75,32,32,32,1.0,1.0,0.3263489738358185
0.1,0.4,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,trot,0.55,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,trot,0.6,32,32,32,1.0,1.0,0.20487204555847344
0.1,0.4,0.48,trot,0.65,32,32,32,1.0,1.0,0.22267735485135762
0.1,0.4,0.48,trot,0.7,32,32,32,1.0,1.0,0.2388473424868088
0.1,0.4,0.48,trot,0.75,32,32,32,1.0,1.0,0.25718874707521994
0.1,0.4,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.75,32,32,32,1.0,1.0,0.3173186422185199
0.2,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,trot,0.55,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,trot,0.6,32,32,32,1.0,1.0,0.26243836567518963
0.2,0.25,0.48,trot,0.65,32,32,32,1.0,1.0,0.28161876609109127
0.2,0.25,0.48,trot,0.7,32,32,32,1.0,1.0,0.2995063450465642
0.2,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.31272923903234234
0.2,0.25,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.75,32,32,32,1.0,1.0,0.4175065604285478
0.2,0.3,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,trot,0.55,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,trot,0.6,32,32,32,1.0,1.0,0.2324381906581479
0.2,0.3,0.48,trot,0.65,32,32,32,1.0,1.0,0.2477449007782303
0.2,0.3,0.48,trot,0.7,32,32,32,1.0,1.0,0.26808797360732
0.2,0.3,0.48,trot,0.75,32,32,32,1.0,1.0,0.2870950145467337
0.2,0.3,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.75,32,32,32,1.0,1.0,0.37299917449245584
0.2,0.35,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,trot,0.55,32,27,27,0.84375,0.84375,0.20136554393204392
0.2,0.35,0.48,trot,0.6,32,32,32,1.0,1.0,0.21437759522320893
0.2,0.35,0.48,trot,0.65,32,32,32,1.0,1.0,0.23325215865258694
0.2,0.35,0.48,trot,0.7,32,32,32,1.0,1.0,0.2511737259673811
0.2,0.35,0.48,trot,0.75,32,32,32,1.0,1.0,0.2700406169451999
0.2,0.35,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.75,32,32,32,1.0,1.0,0.3454969105086112
0.2,0.4,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,trot,0.55,32,32,32,1.0,1.0,0.19287708009401996
0.2,0.4,0.48,trot,0.6,32,32,32,1.0,1.0,0.20335727287276797
0.2,0.4,0.48,trot,0.65,32,32,32,1.0,1.0,0.22326766124814706
0.2,0.4,0.48,trot,0.7,32,32,32,1.0,1.0,0.2377924106504925
0.2,0.4,0.48,trot,0.75,32,32,32,1.0,1.0,0.2549791496099503
0.2,0.4,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.75,32,32,32,1.0,1.0,0.3276932099181595
0.3,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,trot,0.55,32,32,32,1.0,1.0,0.24744853745920595
0.3,0.25,0.48,trot,0.6,32,32,32,1.0,1.0,0.26503339479797494
0.3,0.25,0.48,trot,0.65,32,32,32,1.0,1.0,0.27598388511654415
0.3,0.25,0.48,trot,0.7,32,32,32,1.0,1.0,0.2917059374108573
0.3,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.3093510530854974
0.3,0.25,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.75,32,32,32,1.0,1.0,0.44926169752755923
0.3,0.3,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,trot,0.55,32,32,32,1.0,1.0,0.21922490123505733
0.3,0.3,0.48,trot,0.6,32,32,32,1.0,1.0,0.23699322708918927
0.3,0.3,0.48,trot,0.65,32,32,32,1.0,1.0,0.25416684239047965
0.3,0.3,0.48,trot,0.7,32,32,32,1.0,1.0,0.2664455269413087
0.3,0.3,0.48,trot,0.75,32,32,32,1.0,1.0,0.28941851117774176
0.3,0.3,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.75,32,32,32,1.0,1.0,0.40047862195228046
0.3,0.35,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,trot,0.55,32,32,32,1.0,1.0,0.2028978455477743
0.3,0.35,0.48,trot,0.6,32,32,32,1.0,1.0,0.2162711394427335
0.3,0.35,0.48,trot,0.65,32,32,32,1.0,1.0,0.2328615710324632
0.3,0.35,0.48,trot,0.7,32,32,32,1.0,1.0,0.24779548843156068
0.3,0.35,0.48,trot,0.75,32,32,32,1.0,1.0,0.2625616471075204
0.3,0.35,0.48,walk,0.5,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.55,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.6,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.65,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.7,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.75,32,32,32,1.0,1.0,0.3706275090695389
0.3,0.4,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.3,0.4,0.48,trot,0.55,32,32,32,1.0,1.0,0.19337994847123288
0.3,0.4,0.48,trot,0.6,32,32,32,1.0,1.0,0.20451631260081837
0.3,0.4,0.48,trot,0.65,32,32,32,1.0,1.0,0.21968516531091598
0.3,0.4,0.48,trot,0.7,32,32,32,1.0,1.0,0.23450439332422568
0.3,0.4,0.48,trot,0.75,32,32,32,1.0,1.0,0.25166586003424457
