step_width,speed,period,gait,target_df,target_positive_mechanical_cot,target_compliance_rate,eligible_candidates,bootstrap_valid_fraction,target_df_ci_low,target_df_ci_high
0.1,0.25,0.48,trot,0.65,0.2731536782058456,1.0,3,1.0,0.65,0.65
0.1,0.3,0.48,trot,0.6,0.2286990522455612,1.0,4,1.0,0.6,0.6
0.1,0.3,0.48,walk,0.75,0.34968334748917135,1.0,1,1.0,0.75,0.75
0.1,0.35,0.48,trot,0.6,0.2153875357210767,1.0,4,1.0,0.6,0.6
0.1,0.35,0.48,walk,0.75,0.3263489738358185,1.0,1,1.0,0.75,0.75
0.1,0.4,0.48,trot,0.6,0.20487204555847344,1.0,4,1.0,0.6,0.6
0.1,0.4,0.48,walk,0.75,0.3173186422185199,1.0,1,1.0,0.75,0.75
0.2,0.25,0.48,trot,0.6,0.26243836567518963,1.0,4,1.0,0.6,0.6
0.2,0.25,0.48,walk,0.75,0.4175065604285478,1.0,1,1.0,0.75,0.75
0.2,0.3,0.48,trot,0.6,0.2324381906581479,1.0,4,1.0,0.6,0.6
0.2,0.3,0.48,walk,0.75,0.37299917449245584,1.0,1,1.0,0.75,0.75
0.2,0.35,0.48,trot,0.6,0.21437759522320893,1.0,4,1.0,0.55,0.6
0.2,0.35,0.48,walk,0.75,0.3454969105086112,1.0,1,1.0,0.75,0.75
0.2,0.4,0.48,trot,0.55,0.19287708009401996,1.0,5,1.0,0.55,0.55
0.2,0.4,0.48,walk,0.75,0.3276932099181595,1.0,1,1.0,0.75,0.75
0.3,0.25,0.48,trot,0.55,0.24744853745920595,1.0,5,1.0,0.55,0.55
0.3,0.25,0.48,walk,0.75,0.44926169752755923,1.0,1,1.0,0.75,0.75
0.3,0.3,0.48,trot,0.55,0.21922490123505733,1.0,5,1.0,0.55,0.55
0.3,0.3,0.48,walk,0.75,0.40047862195228046,1.0,1,1.0,0.75,0.75
0.3,0.35,0.48,trot,0.55,0.2028978455477743,1.0,5,1.0,0.55,0.55
0.3,0.35,0.48,walk,0.75,0.3706275090695389,1.0,1,1.0,0.75,0.75
0.3,0.4,0.48,trot,0.55,0.19337994847123288,1.0,5,1.0,0.55,0.55
0.3,0.4,0.48,walk,0.75,0.3509085297460116,1.0,1,1.0,0.75,0.75
0.4,0.25,0.48,trot,0.55,0.24792676420911752,1.0,5,1.0,0.55,0.55
0.4,0.25,0.48,walk,0.75,0.4919304819927339,1.0,1,1.0,0.75,0.75
0.4,0.3,0.48,trot,0.55,0.21817190934687222,1.0,5,1.0,0.55,0.55
0.4,0.3,0.48,walk,0.75,0.4348135302750398,1.0,1,1.0,0.75,0.75
0.4,0.35,0.48,trot,0.55,0.20790165792799079,1.0,5,1.0,0.55,0.55
0.4,0.35,0.48,walk,0.75,0.3945287291063883,1.0,1,1.0,0.75,0.75
0.4,0.4,0.48,trot,0.55,0.19730639201263533,1.0,5,1.0,0.55,0.55
0.4,0.4,0.48,walk,0.75,0.36773356867752804,1.0,1,1.0,0.75,0.75
0.5,0.25,0.48,trot,0.6,0.26073254883384267,1.0,5,1.0,0.6,0.6
0.5,0.25,0.48,walk,0.75,0.541611921633051,1.0,1,1.0,0.75,0.75
0.5,0.3,0.48,trot,0.6,0.24308564430967528,1.0,5,1.0,0.6,0.6
0.5,0.3,0.48,walk,0.75,0.47860146890814126,1.0,1,1.0,0.75,0.75
0.5,0.35,0.48,trot,0.55,0.2274277837499813,1.0,5,1.0,0.55,0.55
0.5,0.35,0.48,walk,0.75,0.42017260976651727,1.0,1,1.0,0.75,0.75
0.5,0.4,0.48,trot,0.55,0.21688876449158795,1.0,5,1.0,0.55,0.55
0.5,0.4,0.48,walk,0.75,0.3992403724030351,1.0,1,1.0,0.75,0.75
