speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975,condition_valid
0.25,0.5,0.1,0.48,trot,0.05,8,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,73.4661657076198,nan,nan,nan,54.58291217791669,nan,nan,nan,53.7900102800606,nan,nan,nan,72.80091257627376,nan,nan,nan,0
0.25,0.625,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.964894263825208,nan,nan,nan,18.976976666440464,nan,nan,nan,18.919791159237498,nan,nan,nan,19.90582089688563,nan,nan,nan,0
0.25,0.75,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.811119838121803,nan,nan,nan,4.1160238269818725,nan,nan,nan,4.0814041300715544,nan,nan,nan,4.781817562942347,nan,nan,nan,0
0.25,0.5,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,16.597807048489866,nan,nan,nan,15.469526919826833,nan,nan,nan,15.312990501615637,nan,nan,nan,16.448540593595204,nan,nan,nan,0
0.25,0.625,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.5658606262221975,nan,nan,nan,3.033237341279416,nan,nan,nan,3.01799480004304,nan,nan,nan,3.5553839066820245,nan,nan,nan,0
0.25,0.75,0.2,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.030832572337551,nan,nan,nan,1.9017734950638574,nan,nan,nan,1.8955790272625421,nan,nan,nan,2.0259151375032394,nan,nan,nan,0
0.25,0.5,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.35309775060653,nan,nan,nan,4.487180732085058,nan,nan,nan,4.207745215510087,nan,nan,nan,6.116907835049409,nan,nan,nan,0
0.25,0.625,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.212146671644988,nan,nan,nan,2.022520425779281,nan,nan,nan,1.982814776368944,nan,nan,nan,2.1801450741605537,nan,nan,nan,0
0.25,0.75,0.3,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.3586010074028652,nan,nan,nan,1.294017947488709,nan,nan,nan,1.2098248805335228,nan,nan,nan,1.302243297084058,nan,nan,nan,0
0.25,0.5,0.4,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,6.87852946973416,nan,nan,nan,5.747039866256911,nan,nan,nan,5.515434694695224,nan,nan,nan,6.748872080885532,nan,nan,nan,0
