speed,command_df,step_width,period,gait,references,valid_references,energy_reference_valid_rate,energy_condition_valid,positive_mechanical_cot_median,absolute_mechanical_cot_median
0.25,0.5,0.1,0.48,trot,8,0,0.0,0,nan,nan
0.25,0.625,0.1,0.48,trot,8,8,1.0,1,0.23335215587638278,0.48265138471716595
0.25,0.75,0.1,0.48,trot,8,8,1.0,1,0.32221183448855717,0.6517090746872107
0.25,0.5,0.2,0.48,trot,8,8,1.0,1,0.2032523669664203,0.41837606557499474
0.25,0.625,0.2,0.48,trot,8,8,1.0,1,0.24298586063932467,0.4771684799646002
0.25,0.75,0.2,0.48,trot,8,8,1.0,1,0.3138887507674819,0.621793110118386
0.25,0.5,0.3,0.48,trot,8,8,1.0,1,0.2272471797839674,0.4858362310677393
0.25,0.625,0.3,0.48,trot,8,8,1.0,1,0.2362803608508205,0.47181116459483
0.25,0.75,0.3,0.48,trot,8,8,1.0,1,0.3090859025018945,0.6101177412044257
0.25,0.5,0.4,0.48,trot,8,8,1.0,1,0.2591483057063817,0.5168726518878588
0.25,0.625,0.4,0.48,trot,8,8,1.0,1,0.26377149119702825,0.4899780251919882
0.25,0.75,0.4,0.48,trot,8,8,1.0,1,0.31312832794988027,0.600045903257016
0.25,0.5,0.5,0.48,trot,8,0,0.0,0,nan,nan
0.25,0.625,0.5,0.48,trot,8,8,1.0,1,0.2845627358839378,0.5094815956749126
0.25,0.75,0.5,0.48,trot,8,8,1.0,1,0.3359570412968711,0.6060859166614503
0.3,0.5,0.1,0.48,trot,8,6,0.75,0,0.17965474126800152,0.38099605623100435
0.3,0.625,0.1,0.48,trot,8,8,1.0,1,0.21952997802777954,0.4464154661785279
0.3,0.75,0.1,0.48,trot,8,8,1.0,1,0.3010142458599537,0.6094553755178576
0.3,0.5,0.2,0.48,trot,8,4,0.5,0,0.1782851734977175,0.3974860584213402
0.3,0.625,0.2,0.48,trot,8,8,1.0,1,0.2248132422458894,0.4416138439331516
0.3,0.75,0.2,0.48,trot,8,8,1.0,1,0.2962150214463831,0.5898189600215518
0.3,0.5,0.3,0.48,trot,8,8,1.0,1,0.21886566714650302,0.4306269845132895
0.3,0.625,0.3,0.48,trot,8,8,1.0,1,0.2167475164265176,0.43075781822583564
0.3,0.75,0.3,0.48,trot,8,8,1.0,1,0.29076384907874087,0.5731480768448107
0.3,0.5,0.4,0.48,trot,8,6,0.75,0,0.2578822943895374,0.4962167521757454
0.3,0.625,0.4,0.48,trot,8,8,1.0,1,0.23668198406591456,0.4440863007202339
0.3,0.75,0.4,0.48,trot,8,8,1.0,1,0.29467497270597676,0.5649345457614944
0.3,0.5,0.5,0.48,trot,8,8,1.0,1,0.29129204470103365,0.5276411927126641
0.3,0.625,0.5,0.48,trot,8,8,1.0,1,0.26035175983248493,0.47370270693731586
0.3,0.75,0.5,0.48,trot,8,8,1.0,1,0.3168310415748002,0.576893051470549
0.35,0.5,0.1,0.48,trot,8,4,0.5,0,0.1763007802000392,0.37522696123636107
0.35,0.625,0.1,0.48,trot,8,8,1.0,1,0.21185255068059206,0.43066778609891176
0.35,0.75,0.1,0.48,trot,8,8,1.0,1,0.2849820386547788,0.5798681060520683
0.35,0.5,0.2,0.48,trot,8,3,0.375,0,0.17213440942512132,0.38257971827001175
0.35,0.625,0.2,0.48,trot,8,8,1.0,1,0.21316332878947275,0.4227746809307955
0.35,0.75,0.2,0.48,trot,8,8,1.0,1,0.2801032346211553,0.5662216657772567
0.35,0.5,0.3,0.48,trot,8,7,0.875,0,0.21095811647775586,0.41915749611731085
0.35,0.625,0.3,0.48,trot,8,8,1.0,1,0.2048571628585906,0.4116446423114412
0.35,0.75,0.3,0.48,trot,8,8,1.0,1,0.28311857782807576,0.5681165971692409
0.35,0.5,0.4,0.48,trot,8,5,0.625,0,0.23796021850421697,0.4635932655716594
0.35,0.625,0.4,0.48,trot,8,8,1.0,1,0.22220963982556208,0.43027654525421766
0.35,0.75,0.4,0.48,trot,8,8,1.0,1,0.2875212281887971,0.5574127770187856
