speed,command_df,step_width,period,gait,perturbation_h,references,valid_references,reference_valid_rate,periodic_orbit_gate_pass_rate,command_gate_pass_rate,hybrid_topology_gate_pass_rate,translation_symmetry_gate_pass_rate,numerical_gate_pass_rate,rank_gate_pass_rate,finite_difference_gate_pass_rate,chi_augmented_diagnostic_median,chi_augmented_median,chi_augmented_q025,chi_augmented_q975,chi_physical_conditional_diagnostic_median,chi_physical_conditional_median,chi_physical_conditional_q025,chi_physical_conditional_q975,chi_orbital_physical_diagnostic_median,chi_orbital_physical_median,chi_orbital_physical_q025,chi_orbital_physical_q975,chi_orbital_augmented_diagnostic_median,chi_orbital_augmented_median,chi_orbital_augmented_q025,chi_orbital_augmented_q975
0.25,0.5,0.1,0.48,trot,0.025,8,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,124.48057998860239,nan,nan,nan,261.45256634796226,nan,nan,nan,252.1305140322183,nan,nan,nan,121.87837978633468,nan,nan,nan
0.25,0.5,0.1,0.48,trot,0.05,8,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,73.4661657076198,nan,nan,nan,54.58291217791669,nan,nan,nan,53.7900102800606,nan,nan,nan,72.80091257627376,nan,nan,nan
0.25,0.5,0.1,0.48,trot,0.1,8,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,20.681714349590585,nan,nan,nan,17.683889437423314,nan,nan,nan,17.280844083770113,nan,nan,nan,20.427067040968524,nan,nan,nan
0.25,0.625,0.1,0.48,trot,0.025,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,30.095835351548363,nan,nan,nan,29.223865687554174,nan,nan,nan,29.16184811957925,nan,nan,nan,30.068005771886526,nan,nan,nan
0.25,0.625,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.964894263825208,nan,nan,nan,18.976976666440464,nan,nan,nan,18.919791159237498,nan,nan,nan,19.90582089688563,nan,nan,nan
0.25,0.625,0.1,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,14.485938721229434,nan,nan,nan,13.366411198065284,nan,nan,nan,13.302360637786935,nan,nan,nan,14.423484160523241,nan,nan,nan
0.25,0.75,0.1,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.548152478041206,nan,nan,nan,3.8064101262035575,nan,nan,nan,3.7798936940124612,nan,nan,nan,4.511748580004776,nan,nan,nan
0.25,0.75,0.1,0.48,trot,0.05,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.811119838121803,nan,nan,nan,4.1160238269818725,nan,nan,nan,4.0814041300715544,nan,nan,nan,4.781817562942347,nan,nan,nan
0.25,0.75,0.1,0.48,trot,0.1,8,0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.7162654133971245,nan,nan,nan,4.0485136233425605,nan,nan,nan,4.013917290552548,nan,nan,nan,4.687294678301897,nan,nan,nan
0.25,0.5,0.2,0.48,trot,0.025,8,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,16.320318000249376,nan,nan,nan,13.65681088718938,nan,nan,nan,13.39380003227947,nan,nan,nan,16.118545147066726,nan,nan,nan
