seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR
5000000,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.40335152629651205,0.846190118759514,0.7604166666666666,0.04166666666666663,0.0997891009687201,0.00021089903127990972,0.009590697409421728,0.009347385761793702,0.2554688863456249,0.005468886345624924,0.0019331647255681514,0.003650665283203125,0.010427690558830133,0.014608897268772125,0.011844610004873767,0.04178164508519067,1.0,0.8333333333333334,0,0.75,72,0.06584198483162457,1.0,1.0,0.75,72,-0.051588238993038736,1.0,1.0,0.75,72,0.03575513817162977,1.0,1.0,0.7916666666666666,76,-0.046392839941147124,1.0,0.8333333333333334
5000001,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.4018777420996552,0.844508445044795,0.7604166666666666,0.04166666666666663,0.10004120781522091,4.120781522090611e-05,0.00963664678815883,0.009395242315561821,0.25571627045671147,0.00571627045671147,0.0029912699640880585,0.004852294921875,0.012058298291671833,0.015680786222219467,0.011956412409090416,0.04221509885032646,1.0,0.8333333333333334,0,0.75,72,0.06611956604239014,1.0,1.0,0.75,72,-0.051648031558013625,1.0,1.0,0.75,72,0.03578111456914081,1.0,1.0,0.7916666666666666,76,-0.04653370346089727,1.0,0.8333333333333334
5000002,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.40378504180722175,0.8472453735001375,0.7604166666666666,0.04166666666666663,0.09998625403812036,1.3745961879640944e-05,0.009578899390878406,0.009339110936465052,0.2553736198072632,0.005373619807263197,0.011255538441904207,0.013054936192929745,0.011522780335535703,0.015021482482552528,0.011922975385595991,0.04166587094952102,1.0,0.8333333333333334,0,0.75,72,0.06596828459037675,1.0,1.0,0.75,72,-0.05162488338020113,1.0,1.0,0.75,72,0.03585212928656903,1.0,1.0,0.7916666666666666,76,-0.046527210819093806,1.0,0.8333333333333334
5000003,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.4048411373080735,0.847898289573702,0.7604166666666666,0.04166666666666663,0.09991408669871785,8.59133012821589e-05,0.009596852526104089,0.00935437088968077,0.25535991974174976,0.0053599197417497635,0.005065794213543509,0.00698089599609375,0.010702368778411296,0.01451900601387024,0.011890802722951364,0.04158189803000676,1.0,0.8333333333333334,0,0.75,72,0.06595762317172355,1.0,1.0,0.75,72,-0.05159007431939244,1.0,1.0,0.75,72,0.03576604258786473,1.0,1.0,0.7916666666666666,76,-0.04651443331845497,1.0,0.8333333333333334
5000004,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.40026156823500414,0.8434428813561461,0.7604166666666666,0.04166666666666663,0.1000800831699526,8.008316995258835e-05,0.009593856639204253,0.009357969106834693,0.25567879683027667,0.005678796830276667,0.039381811106229174,0.04136848449707031,0.012710895759068402,0.016600370407104492,0.012084159024266433,0.042176841767777154,1.0,0.8333333333333334,0,0.75,72,0.0660892474051151,1.0,1.0,0.75,72,-0.05160774026686946,1.0,1.0,0.75,72,0.03584060644627445,1.0,1.0,0.7916666666666666,76,-0.04662257222164618,1.0,0.8333333333333334
5000005,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.4038954270091213,0.8451988357410378,0.7604166666666666,0.04166666666666663,0.09985484012160233,0.00014515987839767985,0.009656166726905765,0.009408787757274694,0.2554588969796896,0.005458896979689598,0.007282101806605839,0.0090179443359375,0.009925765761875337,0.013862153515219688,0.011752323300127054,0.04175775424396604,1.0,0.8333333333333334,0,0.75,72,0.06601025189997421,1.0,1.0,0.75,72,-0.05158256134018302,1.0,1.0,0.75,72,0.03564819887590905,1.0,1.0,0.7916666666666666,76,-0.04646866812713837,1.0,0.8333333333333334
5000006,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.40600436720612065,0.8462814573906439,0.7604166666666666,0.04166666666666663,0.09991042066926453,8.957933073547308e-05,0.009672650935438771,0.009425379801541567,0.25527983422701556,0.005279834227015556,0.019075541422070512,0.020719528198242188,0.009981631754510032,0.013849581591784954,0.011736496447405747,0.04154481035817856,1.0,0.8333333333333334,0,0.75,72,0.06609129103728467,1.0,1.0,0.75,72,-0.05158032854605052,1.0,1.0,0.75,72,0.035627747834142715,1.0,1.0,0.7916666666666666,76,-0.04652147392105115,1.0,0.8333333333333334
5000007,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.40516571799331214,0.8449558619671983,0.7604166666666666,0.04166666666666663,0.09992021940613155,7.978059386845593e-05,0.009673641592179757,0.009427053988717187,0.25532665895298123,0.005326658952981234,0.013167407929664199,0.01473944541066885,0.009867376584696944,0.013707575388252735,0.011725862946999236,0.04158341972063358,1.0,0.8333333333333334,0,0.75,72,0.06608939284665717,1.0,1.0,0.75,72,-0.05159298542680012,1.0,1.0,0.75,72,0.03562164241965446,1.0,1.0,0.7916666666666666,76,-0.046536418119151345,1.0,0.8333333333333334
5000008,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.405057285909057,0.8475987380938422,0.7604166666666666,0.04166666666666663,0.10002800777870399,2.800777870398674e-05,0.009622294502060489,0.009384521298731368,0.2552567700234552,0.005256770023455204,0.007835114006015475,0.009492874145507812,0.011554474776036413,0.014839794486761093,0.01189088953698435,0.04163970748146876,1.0,0.8333333333333334,0,0.75,72,0.06610229564830661,1.0,1.0,0.75,72,-0.05158079151685039,1.0,1.0,0.75,72,0.03574873527718915,1.0,1.0,0.7916666666666666,76,-0.046624193115061836,1.0,0.8333333333333334
5000009,0.1,0.25,0.48,walk,0.75,0,0,0,1.0,1,1,0.4049919565981239,0.8462572346121714,0.7604166666666666,0.04166666666666663,0.10005028529449404,5.02852944940374e-05,0.009627724145688878,0.009389464715301681,0.25531966146081686,0.00531966146081686,0.00885587003367544,0.010488510131835938,0.011592727322810883,0.014932608231902122,0.011892387759984467,0.041652950482435024,1.0,0.8333333333333334,0,0.75,72,0.06612202825231685,1.0,1.0,0.75,72,-0.05160604122405251,1.0,1.0,0.75,72,0.03575528762303293,1.0,1.0,0.7916666666666666,76,-0.0466172134895858,1.0,0.8333333333333334
