step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.1,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.46712766241332765
0.1,0.25,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.8,32,32,32,1.0,1.0,0.4478281511962072
0.1,0.3,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.1,0.3,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.8,32,32,32,1.0,1.0,0.43976045240483286
0.1,0.35,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.1,0.35,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.8,32,32,32,1.0,1.0,0.43687394201584745
0.1,0.4,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.1,0.4,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.49229298804601596
0.2,0.25,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.2,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.2,0.3,0.48,walk,0.8,32,32,32,1.0,1.0,0.46150873356466526
0.2,0.3,0.48,walk,0.85,32,1,1,0.03125,0.03125,0.46712355054723476
0.2,0.3,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.2,0.35,0.48,walk,0.8,32,32,32,1.0,1.0,0.44305862239549343
0.2,0.35,0.48,walk,0.85,32,32,32,1.0,1.0,0.4587196007707899
0.2,0.35,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.2,0.4,0.48,walk,0.8,32,32,32,1.0,1.0,0.4374127569326273
0.2,0.4,0.48,walk,0.85,32,26,26,0.8125,0.8125,0.4636969078904938
0.2,0.4,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.5271612024229255
0.3,0.25,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.3,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.3,0.3,0.48,walk,0.8,32,32,32,1.0,1.0,0.4951997088624404
0.3,0.3,0.48,walk,0.85,32,30,30,0.9375,0.9375,0.5141794556318132
0.3,0.3,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.3,0.35,0.48,walk,0.8,32,32,32,1.0,1.0,0.47891871309755923
0.3,0.35,0.48,walk,0.85,32,31,31,0.96875,0.96875,0.49475642428638367
0.3,0.35,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.3,0.4,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.3,0.4,0.48,walk,0.8,32,32,32,1.0,1.0,0.47373109987527556
0.3,0.4,0.48,walk,0.85,32,8,8,0.25,0.25,0.48786859562201523
0.3,0.4,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.5678945981219643
0.4,0.25,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.4,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.8,32,32,32,1.0,1.0,0.5365938380658184
0.4,0.3,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.4,0.3,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.8,32,32,32,1.0,1.0,0.5224419912088937
0.4,0.35,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.4,0.35,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.8,32,32,32,1.0,1.0,0.5153808609470945
0.4,0.4,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.4,0.4,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.6169990845328734
0.5,0.25,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.5,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.8,32,32,32,1.0,1.0,0.5773704240672046
0.5,0.3,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.5,0.3,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.8,32,32,32,1.0,1.0,0.5548436172998575
0.5,0.35,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.5,0.35,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.8,32,32,32,1.0,1.0,0.5475865809079131
0.5,0.4,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.5,0.4,0.48,walk,0.9,32,0,0,0.0,0.0,nan
