step_width,speed,period,gait,target_df,target_positive_mechanical_cot,target_compliance_rate,eligible_candidates,bootstrap_valid_fraction,target_df_ci_low,target_df_ci_high
0.1,0.25,0.48,walk,0.8,0.46712766241332765,1.0,1,1.0,0.8,0.8
0.1,0.3,0.48,walk,0.8,0.4478281511962072,1.0,1,1.0,0.8,0.8
0.1,0.35,0.48,walk,0.8,0.43976045240483286,1.0,1,1.0,0.8,0.8
0.1,0.4,0.48,walk,0.8,0.43687394201584745,1.0,1,1.0,0.8,0.8
0.2,0.25,0.48,walk,0.8,0.49229298804601596,1.0,1,1.0,0.8,0.8
0.2,0.3,0.48,walk,0.8,0.46150873356466526,1.0,1,1.0,0.8,0.8
0.2,0.35,0.48,walk,0.8,0.44305862239549343,1.0,2,1.0,0.8,0.8
0.2,0.4,0.48,walk,0.8,0.4374127569326273,1.0,1,1.0,0.8,0.8
0.3,0.25,0.48,walk,0.8,0.5271612024229255,1.0,1,1.0,0.8,0.8
0.3,0.3,0.48,walk,0.8,0.4951997088624404,1.0,2,1.0,0.8,0.8
0.3,0.35,0.48,walk,0.8,0.47891871309755923,1.0,2,1.0,0.8,0.8
0.3,0.4,0.48,walk,0.8,0.47373109987527556,1.0,1,1.0,0.8,0.8
0.4,0.25,0.48,walk,0.8,0.5678945981219643,1.0,1,1.0,0.8,0.8
0.4,0.3,0.48,walk,0.8,0.5365938380658184,1.0,1,1.0,0.8,0.8
0.4,0.35,0.48,walk,0.8,0.5224419912088937,1.0,1,1.0,0.8,0.8
0.4,0.4,0.48,walk,0.8,0.5153808609470945,1.0,1,1.0,0.8,0.8
0.5,0.25,0.48,walk,0.8,0.6169990845328734,1.0,1,1.0,0.8,0.8
0.5,0.3,0.48,walk,0.8,0.5773704240672046,1.0,1,1.0,0.8,0.8
0.5,0.35,0.48,walk,0.8,0.5548436172998575,1.0,1,1.0,0.8,0.8
0.5,0.4,0.48,walk,0.8,0.5475865809079131,1.0,1,1.0,0.8,0.8
