gait,speed,period,step_width,command_df,trials,energy_valid_rate,energy_condition_valid,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.25,0.36,0.1,0.5,32,0.0,0,,0.22898627341934738,1.0,0.0
trot,0.25,0.36,0.1,0.625,32,1.0,1,0.24727971503447266,0.24727971503447266,1.0,1.0
trot,0.25,0.36,0.2,0.5,32,0.0,0,,0.2219722090381458,1.0,0.0
trot,0.25,0.36,0.2,0.625,32,1.0,1,0.2596632085669145,0.2596632085669145,1.0,1.0
trot,0.25,0.36,0.3,0.5,32,0.0,0,,0.2715747423793006,1.0,0.0
trot,0.25,0.36,0.3,0.625,32,1.0,1,0.266373015254149,0.266373015254149,1.0,1.0
trot,0.25,0.36,0.4,0.5,32,0.0,0,,0.3153391245819064,1.0,0.0
trot,0.25,0.36,0.4,0.625,32,1.0,1,0.29021637588028815,0.29021637588028815,1.0,1.0
trot,0.25,0.36,0.5,0.5,32,0.0,0,,0.3435813541973632,0.6875,0.0
trot,0.25,0.36,0.5,0.625,32,1.0,1,0.32790952223157493,0.32790952223157493,1.0,1.0
trot,0.25,0.4,0.1,0.5,32,0.0,0,,0.21000866123798617,1.0,0.0
trot,0.25,0.4,0.1,0.625,32,1.0,1,0.23722963258647814,0.23722963258647814,1.0,1.0
trot,0.25,0.4,0.1,0.75,32,1.0,1,0.310479020691358,0.310479020691358,1.0,1.0
trot,0.25,0.4,0.2,0.5,32,0.0,0,,0.21058054151449487,1.0,0.0
trot,0.25,0.4,0.2,0.625,32,1.0,1,0.2408721834829841,0.2408721834829841,1.0,1.0
trot,0.25,0.4,0.2,0.75,32,1.0,1,0.311539954231923,0.311539954231923,1.0,1.0
trot,0.25,0.4,0.3,0.5,32,0.0,0,,0.21278198987618277,1.0,0.0
trot,0.25,0.4,0.3,0.625,32,1.0,1,0.25533353471325737,0.25533353471325737,1.0,1.0
trot,0.25,0.4,0.3,0.75,32,1.0,1,0.3314927092790547,0.3314927092790547,1.0,1.0
trot,0.25,0.4,0.4,0.5,32,0.0,0,,0.26349012607979455,0.875,0.0
trot,0.25,0.4,0.4,0.625,32,1.0,1,0.27764355077026925,0.27764355077026925,1.0,1.0
trot,0.25,0.4,0.4,0.75,32,1.0,1,0.3541526362938044,0.3541526362938044,1.0,1.0
trot,0.25,0.4,0.5,0.5,32,0.0,0,,0.33728939587463225,0.03125,0.0
trot,0.25,0.4,0.5,0.625,32,1.0,1,0.308004341024233,0.308004341024233,1.0,1.0
trot,0.25,0.4,0.5,0.75,32,1.0,1,0.38578582954840146,0.38578582954840146,1.0,1.0
trot,0.25,0.48,0.1,0.5,32,0.0,0,,0.1807921673486284,0.0,0.0
trot,0.25,0.48,0.1,0.625,32,1.0,1,0.2105792367676445,0.2105792367676445,1.0,1.0
trot,0.25,0.48,0.1,0.75,32,1.0,1,0.33287108932462983,0.33287108932462983,1.0,1.0
trot,0.25,0.48,0.2,0.5,32,1.0,1,0.19327613829496,0.19327613829496,1.0,1.0
trot,0.25,0.48,0.2,0.625,32,1.0,1,0.2249704349666861,0.2249704349666861,1.0,1.0
trot,0.25,0.48,0.2,0.75,32,1.0,1,0.33530057287991477,0.33530057287991477,1.0,1.0
trot,0.25,0.48,0.3,0.5,32,1.0,1,0.21909727685929434,0.21909727685929434,1.0,1.0
trot,0.25,0.48,0.3,0.625,32,1.0,1,0.2504902165171466,0.2504902165171466,1.0,1.0
trot,0.25,0.48,0.3,0.75,32,1.0,1,0.3350654328482743,0.3350654328482743,1.0,1.0
trot,0.25,0.48,0.4,0.5,32,1.0,1,0.26131845160825734,0.26131845160825734,1.0,1.0
trot,0.25,0.48,0.4,0.625,32,1.0,1,0.2689747431436592,0.2689747431436592,1.0,1.0
trot,0.25,0.48,0.4,0.75,32,1.0,1,0.353838693116349,0.353838693116349,1.0,1.0
trot,0.25,0.48,0.5,0.5,32,0.40625,0,,0.3057532668306854,1.0,0.40625
trot,0.25,0.48,0.5,0.625,32,1.0,1,0.2940961653891052,0.2940961653891052,1.0,1.0
trot,0.25,0.48,0.5,0.75,32,1.0,1,0.3776338677025626,0.3776338677025626,1.0,1.0
trot,0.25,0.54,0.1,0.5,32,0.0,0,,0.16303676401631934,0.0,0.0
trot,0.25,0.54,0.1,0.625,32,1.0,1,0.23111527932614204,0.23111527932614204,1.0,1.0
trot,0.25,0.54,0.1,0.75,32,1.0,1,0.35933909813223874,0.35933909813223874,1.0,1.0
trot,0.25,0.54,0.2,0.5,32,0.0,0,,0.17425044176890297,0.625,0.0
trot,0.25,0.54,0.2,0.625,32,1.0,1,0.24161021131142535,0.24161021131142535,1.0,1.0
trot,0.25,0.54,0.2,0.75,32,1.0,1,0.35984642778171283,0.35984642778171283,1.0,1.0
trot,0.25,0.54,0.3,0.5,32,0.0,0,,0.2160020467069072,0.625,0.0
trot,0.25,0.54,0.3,0.625,32,1.0,1,0.2524347523954508,0.2524347523954508,1.0,1.0
trot,0.25,0.54,0.3,0.75,32,1.0,1,0.36471948227329687,0.36471948227329687,1.0,1.0
trot,0.25,0.54,0.4,0.5,32,0.0,0,,0.2575788617339953,0.5625,0.0
trot,0.25,0.54,0.4,0.625,32,1.0,1,0.2747229239292973,0.2747229239292973,1.0,1.0
trot,0.25,0.54,0.4,0.75,32,1.0,1,0.377688492053604,0.377688492053604,1.0,1.0
trot,0.25,0.54,0.5,0.5,32,0.0,0,,0.29881145990684665,0.1875,0.0
trot,0.25,0.54,0.5,0.625,32,1.0,1,0.298421380649124,0.298421380649124,1.0,1.0
trot,0.25,0.54,0.5,0.75,32,1.0,1,0.38647046403312,0.38647046403312,1.0,1.0
trot,0.3,0.36,0.1,0.5,32,0.0,0,,0.20365562951371802,1.0,0.0
trot,0.3,0.36,0.1,0.625,32,1.0,1,0.22917178840472124,0.22917178840472124,1.0,1.0
trot,0.3,0.36,0.2,0.5,32,0.0,0,,0.20565105151872182,1.0,0.0
trot,0.3,0.36,0.2,0.625,32,1.0,1,0.24404818260960565,0.24404818260960565,1.0,1.0
trot,0.3,0.36,0.3,0.5,32,0.0,0,,0.2433761994342286,1.0,0.0
trot,0.3,0.36,0.3,0.625,32,1.0,1,0.24852882268714827,0.24852882268714827,1.0,1.0
trot,0.3,0.36,0.4,0.5,32,0.0,0,,0.28895930929960867,1.0,0.0
trot,0.3,0.36,0.4,0.625,32,1.0,1,0.2684675946750299,0.2684675946750299,1.0,1.0
trot,0.3,0.36,0.5,0.5,32,0.0,0,,0.30264151719684756,0.40625,0.0
trot,0.3,0.36,0.5,0.625,32,1.0,1,0.3029500046247259,0.3029500046247259,1.0,1.0
trot,0.3,0.4,0.1,0.5,32,0.0,0,,0.19114786284446203,1.0,0.0
trot,0.3,0.4,0.1,0.625,32,1.0,1,0.22258939113438025,0.22258939113438025,1.0,1.0
trot,0.3,0.4,0.1,0.75,32,1.0,1,0.29476633172186906,0.29476633172186906,1.0,1.0
trot,0.3,0.4,0.2,0.5,32,0.0,0,,0.19683142139684348,1.0,0.0
trot,0.3,0.4,0.2,0.625,32,1.0,1,0.22699621291384642,0.22699621291384642,1.0,1.0
trot,0.3,0.4,0.2,0.75,32,1.0,1,0.29830840633940686,0.29830840633940686,1.0,1.0
trot,0.3,0.4,0.3,0.5,32,0.0,0,,0.20399001962773458,1.0,0.0
trot,0.3,0.4,0.3,0.625,32,1.0,1,0.23524447021745462,0.23524447021745462,1.0,1.0
trot,0.3,0.4,0.3,0.75,32,1.0,1,0.30438591371911633,0.30438591371911633,1.0,1.0
trot,0.3,0.4,0.4,0.5,32,0.0,0,,0.2378145288014903,1.0,0.0
trot,0.3,0.4,0.4,0.625,32,1.0,1,0.25449038397343776,0.25449038397343776,1.0,1.0
trot,0.3,0.4,0.4,0.75,32,1.0,1,0.3224048417807422,0.3224048417807422,1.0,1.0
trot,0.3,0.4,0.5,0.5,32,0.0,0,,0.29250794332727714,0.90625,0.0
trot,0.3,0.4,0.5,0.625,32,1.0,1,0.28217583563441156,0.28217583563441156,1.0,1.0
trot,0.3,0.4,0.5,0.75,32,1.0,1,0.35742270312871527,0.35742270312871527,1.0,1.0
trot,0.3,0.48,0.1,0.5,32,0.0,0,,0.16518625008167592,0.0,0.03125
trot,0.3,0.48,0.1,0.625,32,1.0,1,0.2007335155192232,0.2007335155192232,1.0,1.0
trot,0.3,0.48,0.1,0.75,32,1.0,1,0.3137914333706069,0.3137914333706069,1.0,1.0
trot,0.3,0.48,0.2,0.5,32,1.0,1,0.18364444986125544,0.18364444986125544,1.0,1.0
trot,0.3,0.48,0.2,0.625,32,1.0,1,0.21462658228282516,0.21462658228282516,1.0,1.0
trot,0.3,0.48,0.2,0.75,32,1.0,1,0.3153175597917372,0.3153175597917372,1.0,1.0
trot,0.3,0.48,0.3,0.5,32,1.0,1,0.19668016535009802,0.19668016535009802,1.0,1.0
trot,0.3,0.48,0.3,0.625,32,1.0,1,0.22845616484542158,0.22845616484542158,1.0,1.0
trot,0.3,0.48,0.3,0.75,32,1.0,1,0.31515208318875465,0.31515208318875465,1.0,1.0
trot,0.3,0.48,0.4,0.5,32,1.0,1,0.24013508122696758,0.24013508122696758,1.0,1.0
trot,0.3,0.48,0.4,0.625,32,1.0,1,0.24632517835751655,0.24632517835751655,1.0,1.0
trot,0.3,0.48,0.4,0.75,32,1.0,1,0.33124655549026627,0.33124655549026627,1.0,1.0
trot,0.3,0.48,0.5,0.5,32,0.9375,1,0.2828273284171855,0.28266204356956515,0.9375,1.0
trot,0.3,0.48,0.5,0.625,32,1.0,1,0.2703481578358166,0.2703481578358166,1.0,1.0
