gait,period,speed,command_df,valid_widths,widths,positive_mechanical_cot_median,positive_mechanical_cot_median_all,periodic_rate,compliance_rate
trot,0.36,0.25,0.5,0,5,,0.2715747423793006,0.9375,0.0
trot,0.36,0.25,0.625,5,5,0.266373015254149,0.266373015254149,1.0,1.0
trot,0.36,0.3,0.5,0,5,,0.2433761994342286,0.88125,0.0
trot,0.36,0.3,0.625,5,5,0.24852882268714827,0.24852882268714827,1.0,1.0
trot,0.36,0.35,0.5,0,5,,0.22095895064302104,1.0,0.0
trot,0.36,0.35,0.625,5,5,0.24071348021283973,0.24071348021283973,1.0,1.0
trot,0.36,0.4,0.5,0,5,,0.20036339796623293,1.0,0.0
trot,0.36,0.4,0.625,5,5,0.2315143019505208,0.2315143019505208,1.0,1.0
trot,0.4,0.25,0.5,0,5,,0.21278198987618277,0.78125,0.0
trot,0.4,0.25,0.625,5,5,0.25533353471325737,0.25533353471325737,1.0,1.0
trot,0.4,0.25,0.75,5,5,0.3314927092790547,0.3314927092790547,1.0,1.0
trot,0.4,0.3,0.5,0,5,,0.20399001962773458,0.98125,0.0
trot,0.4,0.3,0.625,5,5,0.23524447021745462,0.23524447021745462,1.0,1.0
trot,0.4,0.3,0.75,5,5,0.30438591371911633,0.30438591371911633,1.0,1.0
trot,0.4,0.35,0.5,0,5,,0.20148489416933996,0.8,0.0
trot,0.4,0.35,0.625,5,5,0.2265731987372555,0.2265731987372555,1.0,1.0
trot,0.4,0.35,0.75,5,5,0.2884894131937283,0.2884894131937283,1.0,1.0
trot,0.4,0.4,0.5,0,5,,0.18401428571711226,0.8,0.0
trot,0.4,0.4,0.625,5,5,0.22489695382860364,0.22489695382860364,1.0,1.0
trot,0.4,0.4,0.75,5,5,0.2832059113445378,0.2832059113445378,1.0,1.0
trot,0.48,0.25,0.5,3,5,,0.21909727685929434,0.8,0.68125
trot,0.48,0.25,0.625,5,5,0.2504902165171466,0.2504902165171466,1.0,1.0
trot,0.48,0.25,0.75,5,5,0.33530057287991477,0.33530057287991477,1.0,1.0
trot,0.48,0.3,0.5,4,5,,0.19668016535009802,0.7875,0.80625
trot,0.48,0.3,0.625,5,5,0.22845616484542158,0.22845616484542158,1.0,1.0
trot,0.48,0.3,0.75,5,5,0.3153175597917372,0.3153175597917372,1.0,1.0
trot,0.48,0.35,0.5,4,5,,0.18778071777901273,0.8,0.8
trot,0.48,0.35,0.625,5,5,0.21811392415396466,0.21811392415396466,1.0,1.0
trot,0.48,0.35,0.75,5,5,0.3040989380046225,0.3040989380046225,1.0,1.0
trot,0.48,0.4,0.5,4,5,,0.1846322523280188,0.8,0.8
trot,0.48,0.4,0.625,5,5,0.21657950565472858,0.21657950565472858,1.0,1.0
trot,0.48,0.4,0.75,5,5,0.29793171971228183,0.29793171971228183,1.0,1.0
trot,0.54,0.25,0.5,0,5,,0.2160020467069072,0.4,0.0
trot,0.54,0.25,0.625,5,5,0.2524347523954508,0.2524347523954508,1.0,1.0
trot,0.54,0.25,0.75,5,5,0.36471948227329687,0.36471948227329687,1.0,1.0
trot,0.54,0.3,0.5,0,5,,0.2062121723959438,0.48125,0.0
trot,0.54,0.3,0.625,5,5,0.23454365928858045,0.23454365928858045,1.0,1.0
trot,0.54,0.3,0.75,5,5,0.34502142924332024,0.34502142924332024,1.0,1.0
trot,0.54,0.35,0.5,0,5,,0.19908436623664613,0.725,0.0
trot,0.54,0.35,0.625,5,5,0.2254093899256198,0.2254093899256198,0.99375,1.0
trot,0.54,0.35,0.75,5,5,0.3358168771126327,0.3358168771126327,1.0,1.0
trot,0.54,0.4,0.5,0,5,,0.19407384694141808,0.8375,0.0
trot,0.54,0.4,0.625,5,5,0.22092961842041028,0.22092961842041028,1.0,1.0
trot,0.54,0.4,0.75,5,5,0.32948369675375333,0.32948369675375333,0.99375,1.0
walk,0.4,0.25,0.75,0,5,,0.4912918232115021,0.95625,0.0
walk,0.4,0.25,0.8,0,5,,0.5370726738598874,1.0,0.0
walk,0.4,0.25,0.85,4,5,,0.54063664010664,1.0,0.8125
walk,0.4,0.25,0.9,0,5,,0.555345328518571,1.0,0.0
walk,0.4,0.3,0.75,0,5,,0.4602072322044829,1.0,0.0
walk,0.4,0.3,0.8,0,5,,0.49845673130995627,1.0,0.0
walk,0.4,0.3,0.85,4,5,,0.5046451487183312,1.0,0.8
walk,0.4,0.3,0.9,0,5,,0.5220678107584487,1.0,0.0
walk,0.4,0.35,0.75,0,5,,0.44512149225401304,1.0,0.0
walk,0.4,0.35,0.8,0,5,,0.47088831188453173,1.0,0.0
walk,0.4,0.35,0.85,4,5,,0.48546298845092556,0.99375,0.8
walk,0.4,0.35,0.9,0,5,,0.5003209889909106,1.0,0.0
walk,0.4,0.4,0.75,0,5,,0.430244462847377,1.0,0.0
walk,0.4,0.4,0.8,0,5,,0.4495755723695758,1.0,0.0
walk,0.4,0.4,0.85,2,5,,0.4729669848544742,0.8,0.4
walk,0.4,0.4,0.9,0,5,,0.4872460220990722,1.0,0.0
walk,0.48,0.25,0.75,0,5,,0.4477297484000351,1.0,0.0
walk,0.48,0.25,0.8,5,5,0.49464049515680364,0.49464049515680364,1.0,1.0
walk,0.48,0.25,0.85,5,5,0.5203713352795648,0.5203713352795648,1.0,1.0
walk,0.48,0.25,0.9,0,5,,0.4952084535446216,1.0,0.0
walk,0.48,0.3,0.75,0,5,,0.4239170538911108,1.0,0.0
walk,0.48,0.3,0.8,5,5,0.46345949622004096,0.46345949622004096,1.0,1.0
walk,0.48,0.3,0.85,5,5,0.49267398020279485,0.49267398020279485,1.0,1.0
walk,0.48,0.3,0.9,0,5,,0.47335478800588915,1.0,0.0
walk,0.48,0.35,0.75,0,5,,0.4073748546391345,1.0,0.0
walk,0.48,0.35,0.8,5,5,0.45041768832398316,0.45041768832398316,1.0,1.0
walk,0.48,0.35,0.85,4,5,,0.47656980324685944,1.0,0.91875
walk,0.48,0.35,0.9,0,5,,0.4679889614421533,1.0,0.0
walk,0.48,0.4,0.75,0,5,,0.39929390424648803,1.0,0.0
walk,0.48,0.4,0.8,5,5,0.44410737014469587,0.44410737014469587,1.0,1.0
walk,0.48,0.4,0.85,3,5,,0.4697682606626642,1.0,0.6
walk,0.48,0.4,0.9,0,5,,0.46069789769461333,1.0,0.0
walk,0.54,0.25,0.75,0,5,,0.4308466359809436,1.0,0.0
walk,0.54,0.25,0.8,0,5,,0.4747895602111183,1.0,0.0
walk,0.54,0.25,0.85,4,5,,0.5016875117945011,1.0,0.975
walk,0.54,0.25,0.9,2,5,,0.5203566203384092,1.0,0.4
walk,0.54,0.3,0.75,0,5,,0.40363935273040863,1.0,0.0
walk,0.54,0.3,0.8,0,5,,0.4457946013003557,1.0,0.0
walk,0.54,0.3,0.85,5,5,0.47053650875124464,0.47053650875124464,1.0,1.0
walk,0.54,0.3,0.9,1,5,,0.48427052489792954,0.875,0.4
