gait,policy,condition,period,speed,step_width,command_df,trials,success,failure,timeout,success_rate,ci_low,ci_high,mean_travel_m,mean_end_time_s
trot,base,nominal,0.36,0.30,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003148972988129,12.9990625
trot,base,nominal,0.36,0.30,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003356195986271,12.794374999999999
trot,base,nominal,0.36,0.30,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.00322038680315,12.8621875
trot,base,nominal,0.36,0.30,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003812737762928,12.953125000000004
trot,base,nominal,0.36,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.004132986068726,12.596249999999998
trot,base,nominal,0.36,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002725705504417,12.924062499999998
trot,base,nominal,0.36,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003459669649601,12.606874999999999
trot,base,nominal,0.36,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002638623118401,12.929375
trot,base,nominal,0.36,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003403343260288,12.9665625
trot,base,nominal,0.36,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002662055194378,13.0234375
trot,base,nominal,0.48,0.25,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002524271607399,15.4759375
trot,base,nominal,0.48,0.25,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.00214484333992,15.549687500000001
trot,base,nominal,0.48,0.25,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002489544451237,15.7
trot,base,nominal,0.48,0.25,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002531103789806,15.565312500000001
trot,base,nominal,0.48,0.25,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002978056669235,15.740312499999998
trot,base,nominal,0.48,0.25,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002577759325504,16.024375
trot,base,nominal,0.48,0.25,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002787485718727,15.30625
trot,base,nominal,0.48,0.25,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002770766615868,15.729062500000001
trot,base,nominal,0.48,0.25,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002310760319233,16.166250000000005
trot,base,nominal,0.48,0.25,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002603016793728,15.5253125
trot,base,nominal,0.48,0.25,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002626493573189,15.749375
trot,base,nominal,0.48,0.25,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002592831850052,16.065312499999997
trot,base,nominal,0.48,0.25,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002562925219536,15.82
trot,base,nominal,0.48,0.25,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002686716616154,15.753125
trot,base,nominal,0.48,0.25,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002425365149975,16.097812500000003
trot,base,nominal,0.48,0.30,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.0027652606368065,13.0353125
trot,base,nominal,0.48,0.30,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003558672964573,13.098125
trot,base,nominal,0.48,0.30,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003343492746353,13.239374999999999
trot,base,nominal,0.48,0.30,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003484733402729,13.0821875
trot,base,nominal,0.48,0.30,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003125950694084,13.201250000000002
trot,base,nominal,0.48,0.30,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.0032284036278725,13.4253125
trot,base,nominal,0.48,0.30,0.3,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002763234078884,12.884374999999999
trot,base,nominal,0.48,0.30,0.3,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.0032535418868065,13.241875
trot,base,nominal,0.48,0.30,0.3,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003078915178776,13.526562500000004
trot,base,nominal,0.48,0.30,0.4,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.002895653247833,13.025
trot,base,nominal,0.48,0.30,0.4,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.002522498369217,13.271562500000002
trot,base,nominal,0.48,0.30,0.4,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003848046064377,13.43
trot,base,nominal,0.48,0.30,0.5,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003570236265659,13.118750000000002
trot,base,nominal,0.48,0.30,0.5,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003232032060623,13.235
trot,base,nominal,0.48,0.30,0.5,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003157779574394,13.523437500000004
trot,base,nominal,0.48,0.35,0.1,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003338299691677,11.3409375
trot,base,nominal,0.48,0.35,0.1,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003730498254299,11.3525
trot,base,nominal,0.48,0.35,0.1,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.003591924905777,11.455312500000002
trot,base,nominal,0.48,0.35,0.2,0.5,64,64,0,0,1.0,0.9433739770288436,1.0,4.003657057881355,11.399062500000003
trot,base,nominal,0.48,0.35,0.2,0.625,64,64,0,0,1.0,0.9433739770288436,1.0,4.003276377916336,11.42
trot,base,nominal,0.48,0.35,0.2,0.75,64,64,0,0,1.0,0.9433739770288436,1.0,4.002411484718323,11.560312500000002
