step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.1,0.25,0.36,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.25,0.36,trot,0.625,32,32,32,1.0,1.0,0.24727971503447266
0.1,0.25,0.4,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.25,0.4,trot,0.625,32,32,32,1.0,1.0,0.23722963258647814
0.1,0.25,0.4,trot,0.75,32,32,32,1.0,1.0,0.310479020691358
0.1,0.25,0.4,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.25,0.4,walk,0.8,32,0,0,0.0,0.0,nan
0.1,0.25,0.4,walk,0.85,32,32,32,1.0,1.0,0.45448751057203474
0.1,0.25,0.4,walk,0.9,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,trot,0.625,32,32,32,1.0,1.0,0.2105792367676445
0.1,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.33287108932462983
0.1,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.44690587477453925
0.1,0.25,0.48,walk,0.85,32,32,32,1.0,1.0,0.4694738559026698
0.1,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.1,0.25,0.54,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.25,0.54,trot,0.625,32,32,32,1.0,1.0,0.23111527932614204
0.1,0.25,0.54,trot,0.75,32,32,32,1.0,1.0,0.35933909813223874
0.1,0.25,0.54,walk,0.75,32,0,0,0.0,0.0,nan
0.1,0.25,0.54,walk,0.8,32,0,0,0.0,0.0,nan
0.1,0.25,0.54,walk,0.85,32,32,32,1.0,1.0,0.4580960346436761
0.1,0.25,0.54,walk,0.9,32,0,0,0.0,0.0,nan
0.1,0.3,0.36,trot,0.5,32,0,0,0.0,0.0,nan
0.1,0.3,0.36,trot,0.625,32,32,32,1.0,1.0,0.22917178840472124
0.1,0.3,0.4,trot,0.5,32,0,0,0.0,0.0,nan
