step_width,command_df,disturbed,n,successes,failures,timeouts,success_rate,ci_low,ci_high,period,gait,step_width_frame,course_distance,forward_distance,mean_speed,forward_speed,duration,traversal_time,achieved_df,achieved_width,command_width,command_speed,timing_accuracy,applied_impulse,df_max_abs_error,lateral_rmse,max_lateral_deviation,foot_lateral_mae,settled_samples,world_achieved_width,world_foot_lateral_mae,body_achieved_width,body_foot_lateral_mae,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_mean,world_lateral_velocity_rmse,body_lateral_velocity_mean,body_lateral_velocity_rmse,body_yaw_rate_mean,body_yaw_rate_rmse,df_FL,schedule_df_FL,stance_recall_FL,swing_recall_FL,trials_with_cycles_FL,df_FR,schedule_df_FR,stance_recall_FR,swing_recall_FR,trials_with_cycles_FR,df_RL,schedule_df_RL,stance_recall_RL,swing_recall_RL,trials_with_cycles_RL,df_RR,schedule_df_RR,stance_recall_RR,swing_recall_RR,trials_with_cycles_RR,compliant_trial_fraction,compliance_screen_pass,force2n_compliant_trial_fraction,force2n_compliance_screen_pass,force2n_achieved_df,force2n_achieved_width,force2n_topology_fraction,force2n_topology_ci_low,force2n_topology_ci_high,force2n_topology_screen_pass,force2n_threshold_screen_pass,force2n_topology_good_cycles,force2n_topology_cycles,force2n_pooled_topology_fraction,force5n_compliant_trial_fraction,force5n_compliance_screen_pass,force5n_achieved_df,force5n_achieved_width,force5n_topology_fraction,force5n_topology_ci_low,force5n_topology_ci_high,force5n_topology_screen_pass,force5n_threshold_screen_pass,force5n_topology_good_cycles,force5n_topology_cycles,force5n_pooled_topology_fraction,force10n_compliant_trial_fraction,force10n_compliance_screen_pass,force10n_achieved_df,force10n_achieved_width,force10n_topology_fraction,force10n_topology_ci_low,force10n_topology_ci_high,force10n_topology_screen_pass,force10n_threshold_screen_pass,force10n_topology_good_cycles,force10n_topology_cycles,force10n_pooled_topology_fraction,force_df_span_trial_fraction,force_robust_trial_fraction,force_threshold_conclusion_unchanged,force5n_200hz_vs_frozen50hz_unchanged,combined_cell_pass
0.1,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.003148892521858,0.3072989056818187,0.3111797720193863,13.019062176346779,13.019062176346779,0.5277529761904762,0.10667498005204834,0.10000000149011612,0.30000001192092896,0.9712591795802534,0.0,0.05555555555555569,0.08611435582861304,0.14978888630867004,0.003816816199104879,632.953125,0.10715769993839785,0.009780869816352695,0.10667498005204834,0.003816816199104879,0.05015257390914485,0.05633783410303295,-0.011778713815147057,0.013162289207684807,-0.027276260138023645,0.02814931925968267,0.002750020828784727,0.0458164851879701,0.49990079365079365,0.5,0.9998019012457304,1.0,64,0.5,0.5,1.0,0.9945419312092617,64,0.5555555555555557,0.5,1.0,0.8868741461160323,64,0.5555555555555557,0.5,1.0,0.8888888888888891,64,0.0,False,0.0,False,0.5242188867734595,0.10667912781354971,0.9714023109243697,0.9713629201680671,0.9714285714285714,True,False,2174,2238,0.9714030384271671,0.0,False,0.5242173366742532,0.10667498005204834,0.9714023109243697,0.9713629201680671,0.9714285714285714,True,False,2174,2238,0.9714030384271671,0.0,False,0.5242126863766341,0.10666994418716058,0.9714023109243697,0.9713629201680671,0.9714285714285714,True,False,2174,2238,0.9714030384271671,1.0,0.0,True,True,False
0.1,0.625,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.00335611924529,0.31236691679805517,0.3163740807212889,12.814374655485153,12.814374655485153,0.6666411356209152,0.11065319617046043,0.10000000149011612,0.30000001192092896,0.999974778030382,0.0,0.04166666666666674,0.049740609945729375,0.08760662376880646,0.005381513129354954,622.71875,0.11114000756060705,0.008643680221381999,0.11065319617046043,0.005381513129354954,0.0371867626090534,0.04349996073869988,-0.006937675272638444,0.008311904210131615,-0.01879548776196316,0.01968155856593512,0.002652046416756093,0.047852183459326625,0.6665645424836604,0.6666666666666669,0.999849578602873,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,1.0,True,1.0,True,0.6505661992937957,0.11065319617046043,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,True,0.6502853094362744,0.11065319617046043,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,True,0.6501065921160132,0.11065319617046043,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,1.0,True,True,True
0.2,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.0032203100621695,0.31107241846621037,0.314330349676311,12.882187440991402,12.882187440991402,0.5277522467320261,0.1970657956553623,0.20000000298023224,0.30000001192092896,0.9712571171425282,0.0,0.05555555555555569,0.023457077026250772,0.036479055881500244,0.002542260551775457,626.109375,0.19742828758899122,0.008419228761069701,0.1970657956553623,0.002542260551775457,0.03732858062721789,0.0424668894847855,-0.0027703955347533338,0.009342874560388736,-0.014460209684330039,0.01705175975803286,0.001851800134431869,0.025994622701546177,0.49989787581699346,0.5,0.9998015873015873,1.0,64,0.5,0.5,1.0,0.993998015873016,64,0.5555555555555557,0.5,1.0,0.8887896825396827,64,0.5555555555555557,0.5,1.0,0.8874983809230694,64,0.0,False,0.0,False,0.5276469311683007,0.19707677577389404,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,False,2112,2176,0.9705882352941176,0.0,False,0.5276293785743464,0.1970657956553623,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,False,2112,2176,0.9705882352941176,0.0,False,0.5275958690767975,0.19706436019623652,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,False,2112,2176,0.9705882352941176,1.0,0.0,True,True,False
0.2,0.625,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.003812653571367,0.30887595005333424,0.31226705899462104,12.973124593496323,12.973124593496323,0.6666411356209152,0.1976814895751886,0.20000000298023224,0.30000001192092896,0.9999750498882809,0.0,0.04166666666666674,0.009105250934226206,0.012172766029834747,0.0038158552178031383,630.65625,0.19801317941164598,0.00678447328902892,0.1976814895751886,0.0038158552178031383,0.02423234432353638,0.030732819257536903,-0.0006794507999074995,0.005206636786169838,-0.008216603571781889,0.009935319132637233,0.002019369991721476,0.03261197870597243,0.6665645424836604,0.6666666666666669,0.9998511904761904,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,1.0,True,1.0,True,0.6528933969421102,0.1976814895751886,0.9713366596638655,0.9712710084033613,0.971389180672269,True,True,2169,2233,0.9713390058217645,1.0,True,0.6528561945611578,0.1976814895751886,0.9713366596638655,0.9712710084033613,0.971389180672269,True,True,2169,2233,0.9713390058217645,1.0,True,0.652825192577031,0.1976814895751886,0.9713366596638655,0.9712710084033613,0.971389180672269,True,True,2169,2233,0.9713390058217645,1.0,1.0,True,True,True
0.3,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.004132901877164,0.3177165505476296,0.32131463568657637,12.616249859333038,12.616249859333038,0.5278040824915825,0.2984893249813467,0.30000001192092896,0.30000001192092896,0.9710607600353007,0.0,0.055555555555555684,0.032291135168634355,0.051816828548908234,0.001920000924958506,612.8125,0.2991849622922018,0.00355801358360786,0.2984893249813467,0.001920000924958506,0.01917200701427646,0.02734805055661127,-0.004015459900983842,0.014935321451048367,-0.010047454794403166,0.01766728685470298,0.0007395454200249674,0.022877071023685858,0.5001052188552189,0.5,1.0,0.9997944078947368,64,0.5,0.5,1.0,0.9936882597773093,64,0.5555555555555555,0.5,1.0,0.886174448063699,64,0.5555555555555557,0.5,1.0,0.8888432017543861,64,0.0,False,0.0,False,0.5247289937518568,0.2985079645877704,0.9410650623885919,0.9409536541889484,0.9411486185383244,True,False,2044,2172,0.9410681399631676,0.0,False,0.5244264411888493,0.2984893249813467,0.9686385918003565,0.9666889483065955,0.9701008244206775,True,False,2104,2172,0.9686924493554327,0.0,False,0.524350379948381,0.2984885749174282,0.9705325311942958,0.9704768270944741,0.9705743092691622,True,False,2108,2172,0.9705340699815838,1.0,0.0,True,True,False
0.3,0.625,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.002725632488727,0.30940335569903255,0.31309181638062,12.944062352180481,12.944062352180481,0.6666666666666669,0.2973521148087457,0.30000001192092896,0.30000001192092896,1.0,0.0,0.04166666666666674,0.016583378273935523,0.02754044532775879,0.0038591064488370033,629.203125,0.29755537468008697,0.004596530715900155,0.2973521148087457,0.0038591064488370033,0.006073805718187941,0.022430584620451555,-0.00205752411056892,0.007742885987681802,-0.003097229258855805,0.008353259298019111,0.0005049949679687415,0.025344139721710235,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,1.0,True,1.0,True,0.652972452001634,0.2973521148087457,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,True,0.652972452001634,0.2973521148087457,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,True,0.652972452001634,0.2973521148087457,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,1.0,True,True,True
0.4,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.003459581732749,0.31678234692662954,0.32077095145359635,12.62687474489212,12.62687474489212,0.5282133528916617,0.4031219830503687,0.4000000059604645,0.30000001192092896,0.9702705810214423,0.0,0.055555555555555684,0.050120533211156726,0.08607167750597,0.0031411672560168525,613.34375,0.4040558455744758,0.004659309779389163,0.4031219830503687,0.0031411672560168525,0.00813183696300257,0.023164419661043212,-0.007021093260846101,0.01498295737837907,-0.0089030761300819,0.01614185344078578,-0.0004046189702648917,0.02318287960952148,0.5017423004555357,0.5,1.0,0.9965264384442302,64,0.5,0.5,1.0,0.990445118370259,64,0.5555555555555555,0.5,1.0,0.8863477317488795,64,0.5555555555555557,0.5,1.0,0.8888661202185794,64,0.0,False,0.0,False,0.5248110025654833,0.4031219830503687,0.9705325311942958,0.9704768270944741,0.9705743092691622,True,False,2108,2172,0.9705340699815838,0.0,False,0.5246632803215983,0.4031219830503687,0.9410650623885919,0.9409536541889484,0.9411486185383244,True,False,2044,2172,0.9410681399631676,0.0,False,0.5242997530451575,0.40311251883395016,0.9686385918003565,0.9666889483065955,0.9701008244206775,True,False,2104,2172,0.9686924493554327,1.0,0.0,True,True,False
0.4,0.625,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.00263854265213,0.308760320302099,0.31342762475833297,12.949374973773956,12.949374973773956,0.6666666666666669,0.40045590105000883,0.4000000059604645,0.30000001192092896,0.9999749197431782,0.0,0.04166666666666674,0.045014522067504004,0.07922876626253128,0.005504744947975652,629.46875,0.40069818357005715,0.011070167706107699,0.40045590105000883,0.005504744947975652,0.019759182643610984,0.028336308780126274,-0.006167533661937341,0.010536258181673475,0.0003637597264969372,0.008771811219048686,-0.0015874016131789404,0.03568839957006276,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,0.999702380952381,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,1.0,True,1.0,True,0.6529707195378152,0.40045590105000883,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,True,0.6529691238474558,0.40045590105000883,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,True,0.6529563583245799,0.40045590105000883,0.9705882352941176,0.9705882352941176,0.9705882352941176,True,True,2112,2176,0.9705882352941176,1.0,1.0,True,True,True
0.5,0.5,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.003403259068727,0.3069536406546831,0.3120814091525972,12.986562237143517,12.986562237143517,0.5542356004901963,0.49205008579883724,0.5,0.30000001192092896,0.9439860028008724,0.0,0.10570363562091509,0.055059501697542146,0.09626386314630508,0.00720587541874739,631.328125,0.4925565179437399,0.011824432667560711,0.49205008579883724,0.00720587541874739,0.004854604781939997,0.026780396219692193,-0.007277674711076543,0.010150556190637872,-0.006376542936777696,0.009151298509095795,-2.9099204880367324e-05,0.025183124002069235,0.6057036356209151,0.5,1.0,0.7886695603274078,64,0.5001276552287582,0.5,1.0,0.9871637211351223,64,0.5555555555555557,0.5,1.0,0.8867013948273121,64,0.5555555555555557,0.5,1.0,0.8888277153989516,64,0.0,False,0.0,False,0.5337922082895659,0.4920529887313023,0.010320378151260504,0.007155987394957983,0.013852415966386554,False,False,23,2231,0.010309278350515464,0.0,False,0.5326792370594071,0.49205008579883724,0.010766806722689076,0.007195378151260504,0.014338235294117646,False,False,24,2231,0.010757507844016136,0.0,False,0.5290355009191177,0.49210315628442913,0.954280462184874,0.9508009453781514,0.9578256302521009,True,False,2129,2231,0.9542805916629314,1.0,0.0,True,True,False
0.5,0.625,False,64,64,0,0,1.0,0.9433759402071946,1.0,0.36,trot,body,3.3500000000000005,4.0026619821786875,0.3057709881104529,0.31126437056809664,13.043437153100967,13.043437153100967,0.6666666666666669,0.48947921150829643,0.5,0.30000001192092896,0.9997411357667932,0.0,0.04166666666666674,0.058032615372212604,0.10657268762588501,0.012436717483532174,634.171875,0.4897318824660033,0.022040267086506953,0.48947921150829643,0.012436717483532174,0.0410072723752819,0.04719749273499474,-0.00836580345639959,0.012359466287307441,0.005213892356550787,0.010045535076642409,-0.0039857649735495215,0.03570105176186189,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,0.9968946873549562,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,0.6666666666666669,0.6666666666666669,1.0,1.0,64,1.0,True,1.0,True,0.653064318175187,0.48947921150829643,0.9713760504201681,0.9713235294117647,0.9714154411764706,True,True,2172,2236,0.9713774597495528,1.0,True,0.6530611267944679,0.48947921150829643,0.9713760504201681,0.9713235294117647,0.9714154411764706,True,True,2172,2236,0.9713774597495528,1.0,True,0.6530563397233895,0.48947921150829643,0.9713760504201681,0.9713235294117647,0.9714154411764706,True,True,2172,2236,0.9713774597495528,1.0,1.0,True,True,True
