seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR,cycle_rms,periodic_orbit_gate_pass,energy_trial_valid,out_of_training_support
1530000,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.49145286033664715,0.9626578824096252,0.7625,0.050000000000000044,0.11025787412044813,0.010257874120448124,0.005651095326258134,0.007032115880865603,0.25765412803739307,0.007654128037393071,0.039178525396187304,0.04652976989746094,0.06374323520892819,0.07075506448745728,0.01238466720031774,0.051907928202275494,0.9333333333333333,0.8,0,0.75,60,0.05232839559515317,1.0,1.0,0.8,64,-0.05401931190863252,1.0,0.8,0.7,56,0.05292002617248467,0.9333333333333333,1.0,0.8,64,-0.06124801456462592,1.0,0.8,0.006169706315328447,1,0,0
1530001,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.49124120743859423,0.9640651057503735,0.7625,0.050000000000000044,0.1102263353629193,0.010226335362919295,0.005659978330174149,0.007040635363664477,0.2575344849377871,0.007534484937787078,0.03235903543391126,0.039710044860839844,0.06425806050117394,0.07112762331962585,0.012525498336642682,0.05189956826709715,0.9333333333333333,0.8,0,0.75,60,0.05228165195633968,1.0,1.0,0.8,64,-0.054002594377379864,1.0,0.8,0.7,56,0.052902622148394585,0.9333333333333333,1.0,0.8,64,-0.061265802243724465,1.0,0.8,0.005800029289266263,1,0,0
1530002,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.492602483560852,0.966345385972875,0.765625,0.050000000000000044,0.11018584589637292,0.01018584589637292,0.005613819247299576,0.006967019110452383,0.25665418729186057,0.006654187291860569,0.023353274432535997,0.030920974910259247,0.05638229404056751,0.06498312205076218,0.012705968766970931,0.05161665579096202,0.95,0.8,0,0.75,60,0.051975608244538306,1.0,1.0,0.8,64,-0.05414755048695952,1.0,0.8,0.7125,57,0.053297036703218496,0.95,1.0,0.8,64,-0.060951496358029544,1.0,0.8,0.013251389108116567,1,0,0
1530003,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.48826210748744187,0.9531711042999058,0.765625,0.050000000000000044,0.10974588414506763,0.009745884145067621,0.005587614634533399,0.006924290207680313,0.25668962094932796,0.006689620949327957,0.04147391159763769,0.04963111877441406,0.059357942418180105,0.06592001765966415,0.013349425974944469,0.05081012170107491,0.9666666666666667,0.8,0,0.7375,59,0.05153867305587914,0.9833333333333333,1.0,0.8,64,-0.0541204382898286,1.0,0.8,0.725,58,0.05334350415344896,0.9666666666666667,1.0,0.8,64,-0.06048915279097855,1.0,0.8,0.022157379955851302,0,0,0
1530004,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.4905348714197668,0.9574530574370591,0.765625,0.050000000000000044,0.10980940272343102,0.009809402723431018,0.005605413040570728,0.006940937144681809,0.25661436896771195,0.006614368967711948,0.020005757694671895,0.027845382690429688,0.057617588916823344,0.06448854506015778,0.013416854035573125,0.05091084891953814,0.9666666666666667,0.8,0,0.7375,59,0.05153431105664221,0.9833333333333333,1.0,0.8,64,-0.05418297689175233,1.0,0.8,0.725,58,0.053398281014684974,0.9666666666666667,1.0,0.8,64,-0.06050323648378253,1.0,0.8,0.02032986969150385,0,0,0
1530005,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.49008863165690664,0.9621313157166124,0.7625,0.050000000000000044,0.11024836650661503,0.010248366506615023,0.005641246413468338,0.00701333041070029,0.2575675219297409,0.007567521929740917,0.02453663022267511,0.03164482116699219,0.061835517443348996,0.06909187138080597,0.012386363631814076,0.051872532328867786,0.9333333333333333,0.8,0,0.75,60,0.052215550715724625,1.0,1.0,0.8,64,-0.05408380849985406,1.0,0.8,0.7,56,0.05304180923849344,0.9333333333333333,1.0,0.8,64,-0.06115556455915794,1.0,0.8,0.006757842851054676,1,0,0
1530006,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.49070887648993616,0.9626717099109512,0.7625,0.050000000000000044,0.11026544930479888,0.010265449304798877,0.005643151662467667,0.007020195201039313,0.2575055858120322,0.0075055858120322005,0.023816130148196283,0.030971527099609375,0.061464313441974366,0.06902511417865753,0.012487509833195945,0.05194144181601218,0.9333333333333333,0.8,0,0.75,60,0.05224538315087557,1.0,1.0,0.8,64,-0.05412866116967052,1.0,0.8,0.7,56,0.05302431720442006,0.9333333333333333,1.0,0.8,64,-0.06113253708463162,1.0,0.8,0.005800851707494504,1,0,0
1530007,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.4909361950542529,0.9635700367186386,0.7625,0.050000000000000044,0.11022732034963112,0.010227320349631114,0.0056153052160239185,0.00699031373951584,0.2574972815811634,0.0074972815811634175,0.04794679811077853,0.055173974484205246,0.06056026057598443,0.06820470839738846,0.012386759829208973,0.05188948363924255,0.9333333333333333,0.8,0,0.75,60,0.05219845001896222,1.0,1.0,0.8,64,-0.05415685864863917,1.0,0.8,0.7,56,0.05307814445612686,0.9333333333333333,1.0,0.8,64,-0.061021187575533986,1.0,0.8,0.007873345142773698,1,0,0
1530008,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.4929465856694219,0.9648887653095979,0.765625,0.050000000000000044,0.11025671481549038,0.01025671481549037,0.005626475063036195,0.006981551197823135,0.256755237467587,0.006755237467586994,0.01978197375938482,0.0272064208984375,0.05535368657904379,0.06429529935121536,0.01267604314841555,0.0516328704781873,0.95,0.8,0,0.75,60,0.05201380842675765,1.0,1.0,0.8,64,-0.05419377458747476,1.0,0.8,0.7125,57,0.05333175980731061,0.95,1.0,0.8,64,-0.06097408680943772,1.0,0.8,0.013829157690908159,1,0,0
1530009,0.1,0.25,0.4,walk,0.75,0,0,0,0.0,0,1,0.4906065295745591,0.9631805434946668,0.7625,0.050000000000000044,0.11027026446702491,0.010270264467024906,0.005647768848797394,0.0070288498257286836,0.2577371226623654,0.0077371226623654255,0.03511422719074668,0.0423736572265625,0.0630622405997503,0.0701514333486557,0.012323922360484808,0.05195727651610091,0.9333333333333333,0.8,0,0.75,60,0.0523243322968483,1.0,1.0,0.8,64,-0.054054892039857805,1.0,0.8,0.7,56,0.05293482581951788,0.9333333333333333,1.0,0.8,64,-0.06122647877782583,1.0,0.8,0.0021160766917867387,1,0,0
