seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR,cycle_rms,periodic_orbit_gate_pass,energy_trial_valid,out_of_training_support
1510000,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.18447153431705426,0.36911000724653864,0.5260416666666666,0.0625,0.10061976706484423,0.0006197670648442205,0.0028019661143517637,0.006480669560066112,0.25972459216912586,0.009724592169125856,0.009557355198824237,0.011228561401367188,0.03635285958809183,0.04047826677560806,0.004793304629040104,0.042979100233790035,1.0,0.875,0,0.5,48,0.050871011801064014,1.0,1.0,0.5,48,-0.05278104403987527,1.0,1.0,0.5416666666666666,52,0.04547713073686911,1.0,0.9166666666666666,0.5625,54,-0.05211034755188006,1.0,0.875,0.12041412876277187,0,0,0
1510001,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.18156128551468942,0.3667783927398861,0.5260416666666666,0.0625,0.10060488456227364,0.0006048845622736304,0.00279803683883789,0.006484680539385103,0.25974270623798174,0.009742706237981735,0.01324027874089249,0.014984130859375,0.036368890416286964,0.04040724039077759,0.004650939796982858,0.042867073218392004,1.0,0.875,0,0.5,48,0.05082780076190829,1.0,1.0,0.5,48,-0.05277345244151851,1.0,1.0,0.5416666666666666,52,0.045442236515765004,1.0,0.9166666666666666,0.5625,54,-0.052166279405355453,1.0,0.875,0.12052624116597083,0,0,0
1510002,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.1823100728404012,0.36579984688603095,0.5260416666666666,0.0625,0.10060924809542815,0.0006092480954281443,0.0028275741203197206,0.00649837090168148,0.2598355997664233,0.009835599766423286,0.007610832172950809,0.009205990470945835,0.03690046918775051,0.04102577269077301,0.004809744386577798,0.04313060496866685,1.0,0.875,0,0.5,48,0.05085183920649191,1.0,1.0,0.5,48,-0.05277959948095182,1.0,1.0,0.5416666666666666,52,0.045440366778236166,1.0,0.9166666666666666,0.5625,54,-0.05214669072517642,1.0,0.875,0.12083832686216003,0,0,0
1510003,0.1,0.25,0.48,trot,0.5,0,0,0,0.5,0,1,0.17768638379799864,0.3676916904422157,0.5234375,0.05208333333333337,0.10060854113672467,0.0006085411367246635,0.0028554087167945476,0.006522875898129614,0.2599109495058656,0.009910949505865574,0.0028579483034863657,0.004016876220703125,0.036908867154887066,0.04100242257118225,0.003966650690781145,0.042904153727809216,1.0,0.8958333333333334,0,0.5,48,0.050820228876546025,1.0,1.0,0.5,48,-0.052781093788022794,1.0,1.0,0.5416666666666666,52,0.04537089914083481,1.0,0.9166666666666666,0.5520833333333334,53,-0.05224486046804572,1.0,0.8958333333333334,0.11979117391056412,0,0,0
1510004,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.17441983237523345,0.3631063348895167,0.5234375,0.05208333333333337,0.10028699647541053,0.0002869964754105281,0.002714313681286511,0.006459284926919886,0.26096220578377444,0.010962205783774437,0.0053169335946625035,0.0065135955810546875,0.036695142008261426,0.04081832990050316,0.004092309064866175,0.04388842230661553,1.0,0.8958333333333334,0,0.5,48,0.05051634879782796,1.0,1.0,0.5,48,-0.05284255867203077,1.0,1.0,0.5416666666666666,52,0.045380463680395715,1.0,0.9166666666666666,0.5520833333333334,53,-0.05183462180056662,1.0,0.8958333333333334,0.11213173576301244,0,0,0
1510005,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.18194579844472047,0.36472270413068825,0.5260416666666666,0.0625,0.10070102095592004,0.0007010209559200342,0.0028698267193280284,0.0065229009080212536,0.25968596354747814,0.009685963547478138,0.016802000794280528,0.018726348876953125,0.03671760496634116,0.04086252674460411,0.004800120770327431,0.043098223546959344,1.0,0.875,0,0.5,48,0.050942797757064305,1.0,1.0,0.5,48,-0.05275431958337625,1.0,1.0,0.5416666666666666,52,0.045420946481709294,1.0,0.9166666666666666,0.5625,54,-0.05228397808969021,1.0,0.875,0.12019068042064535,0,0,0
1510006,0.1,0.25,0.48,trot,0.5,0,0,0,0.5,0,1,0.1818081244749401,0.3716679199754265,0.5234375,0.05208333333333337,0.10068648759865692,0.0006864875986569152,0.002908374460468795,0.006559748862249154,0.2599034214702745,0.00990342147027451,0.016618133770060065,0.018022537231445312,0.036799924146376964,0.040949489921331406,0.004238196040323501,0.042970890183839275,1.0,0.8958333333333334,0,0.5,48,0.05096673701579372,1.0,1.0,0.5,48,-0.052789747792606555,1.0,1.0,0.5416666666666666,52,0.045377533381374985,1.0,0.9166666666666666,0.5520833333333334,53,-0.0522389570075386,1.0,0.8958333333333334,0.121514884412379,0,0,0
1510007,0.1,0.25,0.48,trot,0.5,0,0,0,0.5,0,1,0.18189619890280545,0.3713408021218285,0.5234375,0.05208333333333337,0.10064911669091806,0.0006491166909180501,0.002902526190652217,0.006556908008254442,0.2599763670004904,0.009976367000490427,0.019415681974863958,0.020852014422416687,0.036891529196198876,0.04106110706925392,0.004329295639203115,0.042933232173123365,1.0,0.8958333333333334,0,0.5,48,0.050923716354494296,1.0,1.0,0.5,48,-0.05278227982732157,1.0,1.0,0.5416666666666666,52,0.04536381671921565,1.0,0.9166666666666666,0.5520833333333334,53,-0.05222842048080462,1.0,0.8958333333333334,0.12120846072298747,0,0,0
1510008,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.1819537597095899,0.36521901304342463,0.5260416666666666,0.0625,0.10078291308189188,0.0007829130818918784,0.002868377242172322,0.006535267288563772,0.2597213654468457,0.009721365446845709,0.008850849477819164,0.010225296020507812,0.03610698856892851,0.04031142592430115,0.004524244462526665,0.0428867085775891,1.0,0.875,0,0.5,48,0.050988494884222746,1.0,1.0,0.5,48,-0.05280967328387002,1.0,1.0,0.5416666666666666,52,0.04545854447552791,1.0,0.9166666666666666,0.5625,54,-0.05230911352016308,1.0,0.875,0.11944560508802905,0,0,0
1510009,0.1,0.25,0.48,trot,0.5,0,0,0,0.25,0,1,0.18136645131154353,0.36518742631670664,0.5260416666666666,0.0625,0.10068321087002288,0.0006832108700228767,0.0028386628407815148,0.006506068595141791,0.25982254774620134,0.009822547746201338,0.000991764586612912,0.0022754669189453125,0.036260755361835206,0.04054351523518562,0.004796572431962268,0.043025379647522205,1.0,0.875,0,0.5,48,0.050904934449742235,1.0,1.0,0.5,48,-0.05276733279849092,1.0,1.0,0.5416666666666666,52,0.04544783032570894,1.0,0.9166666666666666,0.5625,54,-0.05224632416610365,1.0,0.875,0.12049546558334974,0,0,0
