gait,step_width,command_df,achieved_df_median,positive_mechanical_cot_median,trials,periods
trot,0.05,0.5,0.529369212962963,0.1571228190056277,380,0.4 0.48 0.54
trot,0.05,0.55,0.565625,0.16212054150609562,335,0.4 0.48 0.54
trot,0.05,0.6,0.6180555555555556,0.19997587523296298,372,0.4 0.48 0.54
trot,0.05,0.65,0.6666666666666666,0.22473367958127335,372,0.4 0.48 0.54
trot,0.05,0.7,0.7060185185185185,0.24155228939880058,378,0.4 0.48 0.54
trot,0.05,0.75,0.75,0.2762965351011081,384,0.4 0.48 0.54
trot,0.1,0.5,0.5185185185185185,0.16619220427438858,384,0.4 0.48 0.54
trot,0.1,0.55,0.5636574074074074,0.17477735005956352,384,0.4 0.48 0.54
trot,0.1,0.6,0.6111111111111112,0.2090865426904252,384,0.4 0.48 0.54
trot,0.1,0.65,0.6666666666666666,0.23580421058317308,384,0.4 0.48 0.54
trot,0.1,0.7,0.7037037037037037,0.25670198837760094,384,0.4 0.48 0.54
trot,0.1,0.75,0.75,0.27377658434440305,384,0.4 0.48 0.54
trot,0.15,0.5,0.5131944444444444,0.17731578282295474,384,0.4 0.48 0.54
trot,0.15,0.55,0.5636574074074074,0.18904838645146832,384,0.4 0.48 0.54
trot,0.15,0.6,0.6111111111111112,0.21840906175529473,384,0.4 0.48 0.54
trot,0.15,0.65,0.6666666666666666,0.2452858155375651,384,0.4 0.48 0.54
trot,0.15,0.7,0.7037037037037037,0.2613639922101641,384,0.4 0.48 0.54
trot,0.15,0.75,0.75,0.2793386996173801,384,0.4 0.48 0.54
trot,0.2,0.5,0.5185185185185185,0.18982952230820557,384,0.4 0.48 0.54
trot,0.2,0.55,0.5648148148148149,0.20819956569755294,384,0.4 0.48 0.54
trot,0.2,0.6,0.613425925925926,0.23664822991123818,384,0.4 0.48 0.54
trot,0.2,0.65,0.6666666666666666,0.2531507682212033,384,0.4 0.48 0.54
trot,0.2,0.7,0.7037037037037037,0.27126548157308056,384,0.4 0.48 0.54
trot,0.2,0.75,0.75,0.2847832200371534,384,0.4 0.48 0.54
trot,0.25,0.5,0.5208333333333334,0.21859008315039236,384,0.4 0.48 0.54
trot,0.25,0.55,0.5694444444444444,0.21656898589736406,384,0.4 0.48 0.54
trot,0.25,0.6,0.6203703703703703,0.245395484678678,384,0.4 0.48 0.54
trot,0.25,0.65,0.6666666666666666,0.26035597671638167,384,0.4 0.48 0.54
trot,0.25,0.7,0.7037037037037037,0.2763603180069868,384,0.4 0.48 0.54
trot,0.25,0.75,0.75,0.2891506561551139,384,0.4 0.48 0.54
trot,0.3,0.5,0.525,0.22729096045003117,384,0.4 0.48 0.54
trot,0.3,0.55,0.5740740740740741,0.2293915216953013,384,0.4 0.48 0.54
trot,0.3,0.6,0.6203703703703703,0.2447827945921694,384,0.4 0.48 0.54
trot,0.3,0.65,0.6666666666666666,0.271266219513931,384,0.4 0.48 0.54
trot,0.3,0.7,0.7083333333333334,0.2803054389304298,384,0.4 0.48 0.54
trot,0.3,0.75,0.75,0.28961034137404373,384,0.4 0.48 0.54
walk,0.05,0.75,0.7625,0.30907188990898293,384,0.4 0.48 0.54
walk,0.05,0.8,0.8055555555555556,0.33915004377097824,384,0.4 0.48 0.54
walk,0.05,0.85,0.8333333333333333,0.3535318918898234,384,0.4 0.48 0.54
walk,0.05,0.9,0.8645833333333334,0.38059343868326523,384,0.4 0.48 0.54
walk,0.1,0.75,0.7614583333333333,0.31995187050567186,384,0.4 0.48 0.54
walk,0.1,0.8,0.8125,0.36382446022965664,384,0.4 0.48 0.54
walk,0.1,0.85,0.8333333333333333,0.3793499347706404,384,0.4 0.48 0.54
walk,0.1,0.9,0.8680555555555556,0.3921723146169542,384,0.4 0.48 0.54
walk,0.15,0.75,0.7625,0.3493043342497635,384,0.4 0.48 0.54
walk,0.15,0.8,0.8125000000000001,0.3833528158159854,384,0.4 0.48 0.54
walk,0.15,0.85,0.8333333333333334,0.40205572433399706,384,0.4 0.48 0.54
walk,0.15,0.9,0.8726851851851851,0.41945531541659564,384,0.4 0.48 0.54
walk,0.2,0.75,0.7625,0.3729902059022314,384,0.4 0.48 0.54
walk,0.2,0.8,0.8148148148148148,0.40563741258699054,384,0.4 0.48 0.54
walk,0.2,0.85,0.8431712962962963,0.4268071292610988,384,0.4 0.48 0.54
walk,0.2,0.9,0.875,0.44203665229770417,384,0.4 0.48 0.54
walk,0.25,0.75,0.7625,0.3990591200901842,384,0.4 0.48 0.54
walk,0.25,0.8,0.8194444444444444,0.434134475042895,384,0.4 0.48 0.54
walk,0.25,0.85,0.8431712962962963,0.4562555836183936,384,0.4 0.48 0.54
walk,0.25,0.9,0.875,0.4703638945002061,384,0.4 0.48 0.54
walk,0.3,0.75,0.765625,0.4203374389005192,384,0.4 0.48 0.54
walk,0.3,0.8,0.8229166666666667,0.4600076564433405,384,0.4 0.48 0.54
walk,0.3,0.85,0.84375,0.4788243571962634,384,0.4 0.48 0.54
walk,0.3,0.9,0.8703703703703703,0.49111237831606697,384,0.4 0.48 0.54
