gait,push_force_n,step_width,command_df,success,trials,success_rate,ci_low,ci_high,periods
trot,25,0.05,0.5,0,192,0.0,0.0,0.019615852811660034,0.4 0.48 0.54
trot,25,0.05,0.55,0,192,0.0,0.0,0.019615852811660034,0.4 0.48 0.54
trot,25,0.05,0.6,0,192,0.0,0.0,0.019615852811660034,0.4 0.48 0.54
trot,25,0.05,0.65,0,192,0.0,0.0,0.019615852811660034,0.4 0.48 0.54
trot,25,0.05,0.7,0,192,0.0,0.0,0.019615852811660034,0.4 0.48 0.54
trot,25,0.05,0.75,0,192,0.0,0.0,0.019615852811660034,0.4 0.48 0.54
trot,25,0.1,0.5,2,192,0.010416666666666666,0.0028612294459291893,0.03717929309882126,0.4 0.48 0.54
trot,25,0.1,0.55,2,192,0.010416666666666666,0.0028612294459291893,0.03717929309882126,0.4 0.48 0.54
trot,25,0.1,0.6,5,192,0.026041666666666668,0.01117344421564433,0.059504082928741736,0.4 0.48 0.54
trot,25,0.1,0.65,6,192,0.03125,0.014399085841634563,0.06649077616929672,0.4 0.48 0.54
trot,25,0.1,0.7,15,192,0.078125,0.04791348285135001,0.12488739295848812,0.4 0.48 0.54
trot,25,0.1,0.75,17,192,0.08854166666666667,0.05601496383263865,0.1372105817102899,0.4 0.48 0.54
trot,25,0.15,0.5,61,192,0.3177083333333333,0.25597786243346865,0.3865904172374489,0.4 0.48 0.54
trot,25,0.15,0.55,94,192,0.4895833333333333,0.4197742628582597,0.5598010674086498,0.4 0.48 0.54
trot,25,0.15,0.6,113,192,0.5885416666666666,0.517861400096107,0.6557482926351614,0.4 0.48 0.54
trot,25,0.15,0.65,124,192,0.6458333333333334,0.5759281576415396,0.7100172186217262,0.4 0.48 0.54
trot,25,0.15,0.7,136,192,0.7083333333333334,0.6404557787278202,0.7680376159339881,0.4 0.48 0.54
trot,25,0.15,0.75,142,192,0.7395833333333334,0.6732387801500894,0.7965286237109901,0.4 0.48 0.54
trot,25,0.2,0.5,173,192,0.9010416666666666,0.8506196921810738,0.9357300925429071,0.4 0.48 0.54
trot,25,0.2,0.55,181,192,0.9427083333333334,0.9003366566999551,0.9677118069563875,0.4 0.48 0.54
trot,25,0.2,0.6,181,192,0.9427083333333334,0.9003366566999551,0.9677118069563875,0.4 0.48 0.54
trot,25,0.2,0.65,185,192,0.9635416666666666,0.9266682232288456,0.9822295798936779,0.4 0.48 0.54
trot,25,0.2,0.7,185,192,0.9635416666666666,0.9266682232288456,0.9822295798936779,0.4 0.48 0.54
