gait,step_width,command_df,achieved_df_mean,periods
trot,0.05,0.5,0.532446531820258,0.48 0.54
trot,0.05,0.55,0.5779614363658181,0.48 0.54
trot,0.05,0.6,0.6225577520248178,0.48 0.54
trot,0.05,0.65,0.6679808063271605,0.48 0.54
trot,0.05,0.7,0.7045960405335404,0.48 0.54
trot,0.05,0.75,0.7545322516025642,0.48 0.54
trot,0.1,0.5,0.5152360019993343,0.48 0.54
trot,0.1,0.55,0.5740403244224576,0.48 0.54
trot,0.1,0.6,0.6181154339697138,0.48 0.54
trot,0.1,0.65,0.6666334778597007,0.48 0.54
trot,0.1,0.7,0.705974607681469,0.48 0.54
trot,0.1,0.75,0.7545794285349313,0.48 0.54
trot,0.15,0.5,0.5189030105173108,0.48 0.54
trot,0.15,0.55,0.5743433706893993,0.48 0.54
trot,0.15,0.6,0.6181310991305895,0.48 0.54
trot,0.15,0.65,0.6666355617824709,0.48 0.54
trot,0.15,0.7,0.7059803260975136,0.48 0.54
trot,0.15,0.75,0.7545919485669825,0.48 0.54
trot,0.2,0.5,0.5235642224822196,0.48 0.54
trot,0.2,0.55,0.5765177635666342,0.48 0.54
trot,0.2,0.6,0.6181310991305895,0.48 0.54
trot,0.2,0.65,0.6666415661193175,0.48 0.54
trot,0.2,0.7,0.7059934179711693,0.48 0.54
trot,0.2,0.75,0.7546045290822805,0.48 0.54
trot,0.25,0.5,0.5217518923998204,0.48 0.54
trot,0.25,0.55,0.5786869851262826,0.48 0.54
trot,0.25,0.6,0.6226159923510467,0.48 0.54
trot,0.25,0.65,0.671178813088205,0.48 0.54
trot,0.25,0.7,0.7060092865756928,0.48 0.54
trot,0.25,0.75,0.7546171095975784,0.48 0.54
trot,0.3,0.5,0.5238071394028425,0.48 0.54
trot,0.3,0.55,0.5776517891589505,0.48 0.54
trot,0.3,0.6,0.6226851851851851,0.48 0.54
trot,0.3,0.65,0.6712962962962963,0.48 0.54
trot,0.3,0.7,0.7075769298510466,0.48 0.54
trot,0.3,0.75,0.7546768065619968,0.48 0.54
walk,0.05,0.75,0.7608439053734396,0.4 0.48 0.54
walk,0.05,0.8,0.8073979812583754,0.4 0.48 0.54
walk,0.05,0.85,0.8276829999441084,0.4 0.48 0.54
walk,0.05,0.9,0.8676090324965096,0.4 0.48 0.54
walk,0.1,0.75,0.7607333885793812,0.4 0.48 0.54
walk,0.1,0.8,0.8125035468676534,0.4 0.48 0.54
walk,0.1,0.85,0.8271408170088257,0.4 0.48 0.54
walk,0.1,0.9,0.8681145559545838,0.4 0.48 0.54
walk,0.15,0.75,0.7638140157614797,0.4 0.48 0.54
walk,0.15,0.8,0.8175019849289002,0.4 0.48 0.54
walk,0.15,0.85,0.8343955087609576,0.4 0.48 0.54
walk,0.15,0.9,0.868232705782059,0.4 0.48 0.54
walk,0.2,0.75,0.7638552836639342,0.4 0.48 0.54
walk,0.2,0.8,0.8215762652336995,0.4 0.48 0.54
walk,0.2,0.85,0.8400674565212392,0.4 0.48 0.54
walk,0.2,0.9,0.8682182770808443,0.4 0.48 0.54
walk,0.25,0.75,0.7668937163757137,0.4 0.48 0.54
walk,0.25,0.8,0.8199517932395538,0.4 0.48 0.54
walk,0.25,0.85,0.8414291322429845,0.4 0.48 0.54
walk,0.25,0.9,0.8682264151016776,0.4 0.48 0.54
walk,0.3,0.75,0.7711500097687164,0.4 0.48 0.54
walk,0.3,0.8,0.8210149028300353,0.4 0.48 0.54
walk,0.3,0.85,0.8460642568080879,0.4 0.48 0.54
walk,0.3,0.9,0.86524224564261,0.4 0.48 0.54
