gait,step_width,command_df,success,trials,success_rate,cot_mean,cot_trials,cot_per_success,optimal,optimal_df,optimal_df_ci_low,optimal_df_ci_high,periods
trot,0.05,0.5,0,128,0.0,0.15533928212155299,64,,0,,,,0.48 0.54
trot,0.05,0.55,0,128,0.0,0.16692080376835192,62,,0,,,,0.48 0.54
trot,0.05,0.6,0,128,0.0,0.20789187240634224,60,,0,,,,0.48 0.54
trot,0.05,0.65,0,128,0.0,0.24305067731675814,60,,0,,,,0.48 0.54
trot,0.05,0.7,0,128,0.0,0.2689576211493775,62,,0,,,,0.48 0.54
trot,0.05,0.75,0,128,0.0,0.29409407628429873,64,,0,,,,0.48 0.54
trot,0.1,0.5,0,128,0.0,0.16409733905048063,64,,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.55,1,128,0.0078125,0.18425654752427656,64,23.5848380831074,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.6,4,128,0.03125,0.22616795627780156,64,7.23737460088965,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.65,1,128,0.0078125,0.2578194874044214,64,33.00089438776594,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.7,6,128,0.046875,0.2746644943814228,64,5.8595092134703535,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.75,10,128,0.078125,0.29170253682428815,64,3.7337924713508883,1,0.75,0.6,0.75,0.48 0.54
trot,0.15,0.5,30,128,0.234375,0.17447660806486803,64,0.744433527743437,0,0.75,0.55,0.75,0.48 0.54
trot,0.15,0.55,61,128,0.4765625,0.19261919276596662,64,0.4041845356400611,0,0.75,0.55,0.75,0.48 0.54
trot,0.15,0.6,74,128,0.578125,0.24100649107548772,64,0.41687609267111386,0,0.75,0.55,0.75,0.48 0.54
trot,0.15,0.65,81,128,0.6328125,0.2686468700397823,64,0.4245283872233597,0,0.75,0.55,0.75,0.48 0.54
trot,0.15,0.7,89,128,0.6953125,0.2792866057860867,64,0.4016706240519,0,0.75,0.55,0.75,0.48 0.54
trot,0.15,0.75,95,128,0.7421875,0.295399831589259,64,0.39801240466763316,1,0.75,0.55,0.75,0.48 0.54
trot,0.2,0.5,112,128,0.875,0.18268950277440715,64,0.20878800317075102,1,0.5,0.5,0.55,0.48 0.54
trot,0.2,0.55,119,128,0.9296875,0.20900767413547222,64,0.22481497722134827,0,0.5,0.5,0.55,0.48 0.54
trot,0.2,0.6,117,128,0.9140625,0.25237416996701967,64,0.27610165603229503,0,0.5,0.5,0.55,0.48 0.54
trot,0.2,0.65,121,128,0.9453125,0.2770228637829206,64,0.2930489798695359,0,0.5,0.5,0.55,0.48 0.54
trot,0.2,0.7,123,128,0.9609375,0.28750571052095897,64,0.299192934525876,0,0.5,0.5,0.55,0.48 0.54
trot,0.2,0.75,125,128,0.9765625,0.3018014113626567,64,0.30904464523536046,0,0.5,0.5,0.55,0.48 0.54
trot,0.25,0.5,126,128,0.984375,0.21475749806746136,64,0.21816634724313536,1,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.55,126,128,0.984375,0.2237218342846776,64,0.2272729745114185,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.6,128,128,1.0,0.25383594328889564,64,0.25383594328889564,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.65,128,128,1.0,0.2802769047346979,64,0.2802769047346979,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.7,128,128,1.0,0.2966775500099762,64,0.2966775500099762,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.75,128,128,1.0,0.3046769996153245,64,0.3046769996153245,0,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.5,127,128,0.9921875,0.22662551705722134,64,0.22840996994743568,1,0.5,0.5,0.55,0.48 0.54
trot,0.3,0.55,128,128,1.0,0.230233667960945,64,0.230233667960945,0,0.5,0.5,0.55,0.48 0.54
trot,0.3,0.6,128,128,1.0,0.2678317318946412,64,0.2678317318946412,0,0.5,0.5,0.55,0.48 0.54
trot,0.3,0.65,128,128,1.0,0.2849173858840559,64,0.2849173858840559,0,0.5,0.5,0.55,0.48 0.54
trot,0.3,0.7,128,128,1.0,0.2993541067779162,64,0.2993541067779162,0,0.5,0.5,0.55,0.48 0.54
trot,0.3,0.75,128,128,1.0,0.30179481508972766,64,0.30179481508972766,0,0.5,0.5,0.55,0.48 0.54
walk,0.05,0.75,0,192,0.0,0.31293043871985876,96,,0,,,,0.4 0.48 0.54
walk,0.05,0.8,0,192,0.0,0.3385131309721839,96,,0,,,,0.4 0.48 0.54
walk,0.05,0.85,0,192,0.0,0.3544364775862781,96,,0,,,,0.4 0.48 0.54
walk,0.05,0.9,0,192,0.0,0.3730943294816391,96,,0,,,,0.4 0.48 0.54
walk,0.1,0.75,2,192,0.010416666666666666,0.3267716844469917,96,31.3700817069112,0,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.1,0.8,15,192,0.078125,0.35735482163292537,96,4.574141716901445,0,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.1,0.85,19,192,0.09895833333333333,0.38073733684935585,96,3.847450982898754,1,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.1,0.9,19,192,0.09895833333333333,0.3977467823136933,96,4.019335905485743,0,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.15,0.75,97,192,0.5052083333333334,0.35746503893614373,96,0.7075596646983463,0,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.15,0.8,138,192,0.71875,0.3793500922816378,96,0.52779143273967,1,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.15,0.85,148,192,0.7708333333333334,0.41107812271391664,96,0.5332905375748107,0,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.15,0.9,138,192,0.71875,0.425067989451978,96,0.5913989418462302,0,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.2,0.75,169,192,0.8802083333333334,0.379266721537739,96,0.43088290257541945,0,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.2,0.8,186,192,0.96875,0.40453275911601283,96,0.4175822029584649,1,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.2,0.85,191,192,0.9947916666666666,0.4332346313070739,96,0.4355028754500429,0,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.2,0.9,189,192,0.984375,0.4550058167661941,96,0.46222813131803847,0,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.25,0.75,179,192,0.9322916666666666,0.40211985995342525,96,0.43132409559250084,1,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.25,0.8,192,192,1.0,0.4342427934929875,96,0.4342427934929875,0,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.25,0.85,192,192,1.0,0.46224616733548257,96,0.46224616733548257,0,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.25,0.9,190,192,0.9895833333333334,0.4865139457131235,96,0.49163514514168266,0,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.3,0.75,179,192,0.9322916666666666,0.42231882613179184,96,0.4529900257949946,1,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.3,0.8,191,192,0.9947916666666666,0.46075404365648126,96,0.4631663684923791,0,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.3,0.85,192,192,1.0,0.4888320025941277,96,0.4888320025941277,0,0.75,0.75,0.8,0.4 0.48 0.54
walk,0.3,0.9,192,192,1.0,0.5102715870823253,96,0.5102715870823253,0,0.75,0.75,0.8,0.4 0.48 0.54
