gait,step_width,command_df,success,trials,success_rate,best_success_rate,selected,selected_df,selected_df_ci_low,selected_df_ci_high,periods
trot,0.05,0.5,0,128,0.0,0.0,0,,,,0.48 0.54
trot,0.05,0.55,0,128,0.0,0.0,0,,,,0.48 0.54
trot,0.05,0.6,0,128,0.0,0.0,0,,,,0.48 0.54
trot,0.05,0.65,0,128,0.0,0.0,0,,,,0.48 0.54
trot,0.05,0.7,0,128,0.0,0.0,0,,,,0.48 0.54
trot,0.05,0.75,0,128,0.0,0.0,0,,,,0.48 0.54
trot,0.1,0.5,0,128,0.0,0.078125,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.55,1,128,0.0078125,0.078125,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.6,4,128,0.03125,0.078125,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.65,1,128,0.0078125,0.078125,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.7,6,128,0.046875,0.078125,0,0.75,0.6,0.75,0.48 0.54
trot,0.1,0.75,10,128,0.078125,0.078125,1,0.75,0.6,0.75,0.48 0.54
trot,0.15,0.5,30,128,0.234375,0.7421875,0,0.7,0.6,0.75,0.48 0.54
trot,0.15,0.55,61,128,0.4765625,0.7421875,0,0.7,0.6,0.75,0.48 0.54
trot,0.15,0.6,74,128,0.578125,0.7421875,0,0.7,0.6,0.75,0.48 0.54
trot,0.15,0.65,81,128,0.6328125,0.7421875,0,0.7,0.6,0.75,0.48 0.54
trot,0.15,0.7,89,128,0.6953125,0.7421875,1,0.7,0.6,0.75,0.48 0.54
trot,0.15,0.75,95,128,0.7421875,0.7421875,0,0.7,0.6,0.75,0.48 0.54
trot,0.2,0.5,112,128,0.875,0.9765625,0,0.55,0.5,0.55,0.48 0.54
trot,0.2,0.55,119,128,0.9296875,0.9765625,1,0.55,0.5,0.55,0.48 0.54
trot,0.2,0.6,117,128,0.9140625,0.9765625,0,0.55,0.5,0.55,0.48 0.54
trot,0.2,0.65,121,128,0.9453125,0.9765625,0,0.55,0.5,0.55,0.48 0.54
trot,0.2,0.7,123,128,0.9609375,0.9765625,0,0.55,0.5,0.55,0.48 0.54
trot,0.2,0.75,125,128,0.9765625,0.9765625,0,0.55,0.5,0.55,0.48 0.54
trot,0.25,0.5,126,128,0.984375,1.0,1,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.55,126,128,0.984375,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.6,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.65,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.7,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.25,0.75,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.5,127,128,0.9921875,1.0,1,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.55,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.6,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.65,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.7,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
trot,0.3,0.75,128,128,1.0,1.0,0,0.5,0.5,0.5,0.48 0.54
walk,0.05,0.75,0,192,0.0,0.0,0,,,,0.4 0.48 0.54
walk,0.05,0.8,0,192,0.0,0.0,0,,,,0.4 0.48 0.54
walk,0.05,0.85,0,192,0.0,0.0,0,,,,0.4 0.48 0.54
walk,0.05,0.9,0,192,0.0,0.0,0,,,,0.4 0.48 0.54
walk,0.1,0.75,2,192,0.010416666666666666,0.09895833333333333,0,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.1,0.8,15,192,0.078125,0.09895833333333333,0,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.1,0.85,19,192,0.09895833333333333,0.09895833333333333,1,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.1,0.9,19,192,0.09895833333333333,0.09895833333333333,0,0.85,0.8,0.9,0.4 0.48 0.54
walk,0.15,0.75,97,192,0.5052083333333334,0.7708333333333334,0,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.15,0.8,138,192,0.71875,0.7708333333333334,1,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.15,0.85,148,192,0.7708333333333334,0.7708333333333334,0,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.15,0.9,138,192,0.71875,0.7708333333333334,0,0.8,0.8,0.85,0.4 0.48 0.54
walk,0.2,0.75,169,192,0.8802083333333334,0.9947916666666666,0,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.2,0.8,186,192,0.96875,0.9947916666666666,1,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.2,0.85,191,192,0.9947916666666666,0.9947916666666666,0,0.8,0.75,0.8,0.4 0.48 0.54
walk,0.2,0.9,189,192,0.984375,0.9947916666666666,0,0.8,0.75,0.8,0.4 0.48 0.54
