gait,step_width,contexts,contexts_without_label,selected_df_mean,selected_df_q25,selected_df_q75,selected_df_min,selected_df_max,selections,speeds,periods,selector_validated
trot,0.05,0,12,,,,,,,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
trot,0.1,8,4,0.725,0.7,0.75,0.65,0.75,0.65x1 0.7x2 0.75x5,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
trot,0.15,12,0,0.6750000000000002,0.6,0.7,0.6,0.75,0.6x3 0.65x3 0.7x3 0.75x3,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
trot,0.2,12,0,0.525,0.5,0.55,0.5,0.65,0.5x8 0.55x3 0.65x1,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
trot,0.25,12,0,0.5,0.5,0.5,0.5,0.5,0.5x12,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
trot,0.3,12,0,0.5,0.5,0.5,0.5,0.5,0.5x12,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
walk,0.05,0,12,,,,,,,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
walk,0.1,9,3,0.838888888888889,0.8,0.85,0.8,0.9,0.8x3 0.85x5 0.9x1,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
walk,0.15,12,0,0.7999999999999999,0.8,0.8,0.75,0.85,0.75x1 0.8x10 0.85x1,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
walk,0.2,12,0,0.7666666666666667,0.75,0.8,0.75,0.8,0.75x8 0.8x4,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
walk,0.25,12,0,0.7541666666666668,0.75,0.75,0.75,0.8,0.75x11 0.8x1,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
walk,0.3,12,0,0.7625000000000001,0.75,0.75,0.75,0.8,0.75x9 0.8x3,0.25 0.3 0.35 0.4,0.4 0.48 0.54,True
