gait,speed,period,step_width,command_df,success,trials,success_rate,labelled
trot,0.25,0.36,0.05,0.5,0,64,0.0,0
trot,0.25,0.36,0.05,0.55,0,64,0.0,0
trot,0.25,0.36,0.05,0.6,0,64,0.0,0
trot,0.25,0.36,0.05,0.65,0,64,0.0,0
trot,0.25,0.36,0.05,0.7,0,64,0.0,0
trot,0.25,0.36,0.1,0.5,1,64,0.015625,0
trot,0.25,0.36,0.1,0.55,0,64,0.0,0
trot,0.25,0.36,0.1,0.6,2,64,0.03125,0
trot,0.25,0.36,0.1,0.65,3,64,0.046875,0
trot,0.25,0.36,0.1,0.7,6,64,0.09375,1
trot,0.25,0.36,0.15,0.5,18,64,0.28125,0
trot,0.25,0.36,0.15,0.55,24,64,0.375,0
trot,0.25,0.36,0.15,0.6,38,64,0.59375,0
trot,0.25,0.36,0.15,0.65,48,64,0.75,1
trot,0.25,0.36,0.15,0.7,49,64,0.765625,0
trot,0.25,0.36,0.2,0.5,57,64,0.890625,0
trot,0.25,0.36,0.2,0.55,61,64,0.953125,1
trot,0.25,0.36,0.2,0.6,64,64,1.0,0
trot,0.25,0.36,0.2,0.65,63,64,0.984375,0
trot,0.25,0.36,0.2,0.7,64,64,1.0,0
trot,0.25,0.36,0.25,0.5,64,64,1.0,1
trot,0.25,0.36,0.25,0.55,64,64,1.0,0
trot,0.25,0.36,0.25,0.6,64,64,1.0,0
trot,0.25,0.36,0.25,0.65,64,64,1.0,0
trot,0.25,0.36,0.25,0.7,64,64,1.0,0
trot,0.25,0.36,0.3,0.5,64,64,1.0,1
trot,0.25,0.36,0.3,0.55,64,64,1.0,0
trot,0.25,0.36,0.3,0.6,64,64,1.0,0
trot,0.25,0.36,0.3,0.65,64,64,1.0,0
trot,0.25,0.36,0.3,0.7,64,64,1.0,0
trot,0.25,0.4,0.05,0.5,0,64,0.0,0
trot,0.25,0.4,0.05,0.55,0,64,0.0,0
trot,0.25,0.4,0.05,0.6,0,64,0.0,0
trot,0.25,0.4,0.05,0.65,0,64,0.0,0
trot,0.25,0.4,0.05,0.7,0,64,0.0,0
trot,0.25,0.4,0.05,0.75,0,64,0.0,0
trot,0.25,0.4,0.1,0.5,0,64,0.0,0
trot,0.25,0.4,0.1,0.55,0,64,0.0,0
trot,0.25,0.4,0.1,0.6,2,64,0.03125,0
trot,0.25,0.4,0.1,0.65,2,64,0.03125,0
trot,0.25,0.4,0.1,0.7,1,64,0.015625,0
trot,0.25,0.4,0.1,0.75,3,64,0.046875,0
trot,0.25,0.4,0.15,0.5,22,64,0.34375,0
trot,0.25,0.4,0.15,0.55,24,64,0.375,0
trot,0.25,0.4,0.15,0.6,39,64,0.609375,0
trot,0.25,0.4,0.15,0.65,34,64,0.53125,0
trot,0.25,0.4,0.15,0.7,40,64,0.625,1
trot,0.25,0.4,0.15,0.75,44,64,0.6875,0
trot,0.25,0.4,0.2,0.5,53,64,0.828125,0
trot,0.25,0.4,0.2,0.55,59,64,0.921875,1
trot,0.25,0.4,0.2,0.6,61,64,0.953125,0
trot,0.25,0.4,0.2,0.65,61,64,0.953125,0
trot,0.25,0.4,0.2,0.7,61,64,0.953125,0
trot,0.25,0.4,0.2,0.75,63,64,0.984375,0
trot,0.25,0.4,0.25,0.5,64,64,1.0,1
trot,0.25,0.4,0.25,0.55,64,64,1.0,0
trot,0.25,0.4,0.25,0.6,64,64,1.0,0
trot,0.25,0.4,0.25,0.65,64,64,1.0,0
trot,0.25,0.4,0.25,0.7,64,64,1.0,0
trot,0.25,0.4,0.25,0.75,64,64,1.0,0
trot,0.25,0.4,0.3,0.5,64,64,1.0,1
trot,0.25,0.4,0.3,0.55,64,64,1.0,0
trot,0.25,0.4,0.3,0.6,64,64,1.0,0
trot,0.25,0.4,0.3,0.65,64,64,1.0,0
trot,0.25,0.4,0.3,0.7,64,64,1.0,0
trot,0.25,0.4,0.3,0.75,64,64,1.0,0
trot,0.25,0.48,0.05,0.5,0,64,0.0,0
trot,0.25,0.48,0.05,0.55,0,64,0.0,0
trot,0.25,0.48,0.05,0.6,0,64,0.0,0
trot,0.25,0.48,0.05,0.65,0,64,0.0,0
trot,0.25,0.48,0.05,0.7,0,64,0.0,0
trot,0.25,0.48,0.05,0.75,0,64,0.0,0
trot,0.25,0.48,0.1,0.5,0,64,0.0,0
trot,0.25,0.48,0.1,0.55,0,64,0.0,0
trot,0.25,0.48,0.1,0.6,0,64,0.0,0
trot,0.25,0.48,0.1,0.65,0,64,0.0,0
trot,0.25,0.48,0.1,0.7,1,64,0.015625,0
trot,0.25,0.48,0.1,0.75,1,64,0.015625,0
trot,0.25,0.48,0.15,0.5,12,64,0.1875,0
trot,0.25,0.48,0.15,0.55,22,64,0.34375,0
trot,0.25,0.48,0.15,0.6,31,64,0.484375,0
trot,0.25,0.48,0.15,0.65,32,64,0.5,0
trot,0.25,0.48,0.15,0.7,40,64,0.625,1
trot,0.25,0.48,0.15,0.75,34,64,0.53125,0
trot,0.25,0.48,0.2,0.5,52,64,0.8125,0
trot,0.25,0.48,0.2,0.55,58,64,0.90625,1
trot,0.25,0.48,0.2,0.6,61,64,0.953125,0
trot,0.25,0.48,0.2,0.65,58,64,0.90625,0
trot,0.25,0.48,0.2,0.7,61,64,0.953125,0
trot,0.25,0.48,0.2,0.75,62,64,0.96875,0
trot,0.25,0.48,0.25,0.5,64,64,1.0,1
trot,0.25,0.48,0.25,0.55,63,64,0.984375,0
trot,0.25,0.48,0.25,0.6,64,64,1.0,0
trot,0.25,0.48,0.25,0.65,64,64,1.0,0
trot,0.25,0.48,0.25,0.7,64,64,1.0,0
trot,0.25,0.48,0.25,0.75,64,64,1.0,0
trot,0.25,0.48,0.3,0.5,64,64,1.0,1
