step_width,speed,period,gait,command_df,trials,compliant_trials,finite_energy_compliant_trials,compliance_rate,finite_energy_compliant_rate,median_positive_mechanical_cot
0.05,0.25,0.36,trot,0.5,32,0,0,0.0,0.0,nan
0.05,0.25,0.36,trot,0.55,32,0,0,0.0,0.0,nan
0.05,0.25,0.36,trot,0.6,32,32,32,1.0,1.0,0.22666513618227419
0.05,0.25,0.36,trot,0.65,32,32,32,1.0,1.0,0.2502008552064281
0.05,0.25,0.36,trot,0.7,32,32,32,1.0,1.0,0.25971776925387435
0.05,0.25,0.4,trot,0.5,32,0,0,0.0,0.0,nan
0.05,0.25,0.4,trot,0.55,32,0,0,0.0,0.0,nan
0.05,0.25,0.4,trot,0.6,32,32,32,1.0,1.0,0.24203537852200124
0.05,0.25,0.4,trot,0.65,32,32,32,1.0,1.0,0.2440663366376113
0.05,0.25,0.4,trot,0.7,32,32,32,1.0,1.0,0.2615148479621915
0.05,0.25,0.4,trot,0.75,32,32,32,1.0,1.0,0.2828775170401049
0.05,0.25,0.4,walk,0.75,32,0,0,0.0,0.0,nan
0.05,0.25,0.4,walk,0.8,32,0,0,0.0,0.0,nan
0.05,0.25,0.4,walk,0.85,32,0,0,0.0,0.0,nan
0.05,0.25,0.4,walk,0.9,32,0,0,0.0,0.0,nan
0.05,0.25,0.48,trot,0.5,32,0,0,0.0,0.0,nan
0.05,0.25,0.48,trot,0.55,32,32,32,1.0,1.0,0.2043092582426519
0.05,0.25,0.48,trot,0.6,32,32,32,1.0,1.0,0.24107676603004788
0.05,0.25,0.48,trot,0.65,32,32,32,1.0,1.0,0.2648400781612613
0.05,0.25,0.48,trot,0.7,32,32,32,1.0,1.0,0.2828323161970504
0.05,0.25,0.48,trot,0.75,32,32,32,1.0,1.0,0.3023593176949832
0.05,0.25,0.48,walk,0.75,32,0,0,0.0,0.0,nan
0.05,0.25,0.48,walk,0.8,32,32,32,1.0,1.0,0.36784022893267687
0.05,0.25,0.48,walk,0.85,32,0,0,0.0,0.0,nan
0.05,0.25,0.48,walk,0.9,32,0,0,0.0,0.0,nan
0.05,0.25,0.54,trot,0.5,32,0,0,0.0,0.0,nan
0.05,0.25,0.54,trot,0.55,32,10,10,0.3125,0.3125,0.17065659958975565
0.05,0.25,0.54,trot,0.6,32,32,32,1.0,1.0,0.2424002734134601
0.05,0.25,0.54,trot,0.65,32,0,0,0.0,0.0,nan
0.05,0.25,0.54,trot,0.7,32,0,0,0.0,0.0,nan
0.05,0.25,0.54,trot,0.75,32,32,32,1.0,1.0,0.33088194692946693
0.05,0.25,0.54,walk,0.75,32,0,0,0.0,0.0,nan
0.05,0.25,0.54,walk,0.8,32,0,0,0.0,0.0,nan
0.05,0.25,0.54,walk,0.85,32,30,30,0.9375,0.9375,0.38328634938286654
0.05,0.25,0.54,walk,0.9,32,0,0,0.0,0.0,nan
0.05,0.3,0.36,trot,0.5,32,0,0,0.0,0.0,nan
0.05,0.3,0.36,trot,0.55,32,0,0,0.0,0.0,nan
0.05,0.3,0.36,trot,0.6,32,32,32,1.0,1.0,0.19490343267893318
