gait,speed,period,step_width,best_success,best_trials,reason
trot,0.25,0.36,0.05,0,64,no duty factor succeeds
trot,0.25,0.4,0.05,0,64,no duty factor succeeds
trot,0.25,0.4,0.1,3,64,best success rate below 5%
trot,0.25,0.48,0.05,0,64,no duty factor succeeds
trot,0.25,0.48,0.1,1,64,best success rate below 5%
trot,0.25,0.54,0.05,0,64,no duty factor succeeds
trot,0.25,0.54,0.1,1,64,best success rate below 5%
trot,0.3,0.36,0.05,0,64,no duty factor succeeds
trot,0.3,0.4,0.05,0,64,no duty factor succeeds
trot,0.3,0.48,0.05,0,64,no duty factor succeeds
trot,0.3,0.48,0.1,3,64,best success rate below 5%
trot,0.3,0.54,0.05,0,64,no duty factor succeeds
trot,0.35,0.36,0.05,0,64,no duty factor succeeds
trot,0.35,0.4,0.05,0,64,no duty factor succeeds
trot,0.35,0.48,0.05,0,64,no duty factor succeeds
trot,0.35,0.54,0.05,0,64,no duty factor succeeds
trot,0.4,0.36,0.05,1,64,best success rate below 5%
trot,0.4,0.4,0.05,0,64,no duty factor succeeds
trot,0.4,0.48,0.05,0,64,no duty factor succeeds
trot,0.4,0.54,0.05,0,64,no duty factor succeeds
walk,0.25,0.4,0.05,0,64,no duty factor succeeds
walk,0.25,0.4,0.1,1,64,best success rate below 5%
walk,0.25,0.48,0.05,0,64,no duty factor succeeds
walk,0.25,0.48,0.1,3,64,best success rate below 5%
walk,0.25,0.54,0.05,0,64,no duty factor succeeds
walk,0.25,0.54,0.1,2,64,best success rate below 5%
walk,0.3,0.4,0.05,0,64,no duty factor succeeds
walk,0.3,0.48,0.05,0,64,no duty factor succeeds
walk,0.3,0.54,0.05,0,64,no duty factor succeeds
walk,0.35,0.4,0.05,0,64,no duty factor succeeds
walk,0.35,0.48,0.05,0,64,no duty factor succeeds
walk,0.35,0.54,0.05,0,64,no duty factor succeeds
walk,0.4,0.4,0.05,1,64,best success rate below 5%
walk,0.4,0.48,0.05,0,64,no duty factor succeeds
walk,0.4,0.54,0.05,1,64,best success rate below 5%
