gait,speed,period,step_width,target_df,target_success,target_trials,best_success,best_trials,target_df_ci_low,target_df_ci_high,candidates
trot,0.25,0.36,0.1,0.7,6,64,6,64,0.6,0.7,0.5 0.55 0.6 0.65 0.7
trot,0.25,0.36,0.15,0.65,48,64,49,64,0.6,0.7,0.5 0.55 0.6 0.65 0.7
trot,0.25,0.36,0.2,0.55,61,64,64,64,0.5,0.55,0.5 0.55 0.6 0.65 0.7
trot,0.25,0.36,0.25,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7
trot,0.25,0.36,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7
trot,0.25,0.4,0.15,0.7,40,64,44,64,0.6,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.4,0.2,0.55,59,64,63,64,0.5,0.6,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.4,0.25,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.4,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.48,0.15,0.7,40,64,40,64,0.6,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.48,0.2,0.55,58,64,62,64,0.5,0.6,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.48,0.25,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.48,0.3,0.5,64,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.54,0.15,0.75,39,64,39,64,0.65,0.75,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.54,0.2,0.65,59,64,63,64,0.55,0.7,0.5 0.55 0.6 0.65 0.7 0.75
trot,0.25,0.54,0.25,0.5,62,64,64,64,0.5,0.5,0.5 0.55 0.6 0.65 0.7 0.75
