seed,step_width,speed,period,gait,command_df,compliant,any_failure,command_gate_pass,topology_fraction,topology_gate_pass,energy_valid,positive_mechanical_cot,absolute_mechanical_cot,achieved_df,df_max_abs_error,achieved_stance_width,stance_width_abs_error,stance_foot_lateral_mae,all_phase_foot_lateral_mae,forward_speed,speed_abs_error,lateral_rmse,max_lateral_deviation,heading_rmse_rad,max_abs_heading_rad,world_lateral_velocity_rmse,body_yaw_rate_rmse,stance_recall_min,swing_recall_min,nominal_failure,df_FL,stance_samples_FL,stance_y_FL,stance_recall_FL,swing_recall_FL,df_FR,stance_samples_FR,stance_y_FR,stance_recall_FR,swing_recall_FR,df_RL,stance_samples_RL,stance_y_RL,stance_recall_RL,swing_recall_RL,df_RR,stance_samples_RR,stance_y_RR,stance_recall_RR,swing_recall_RR,cycle_rms,periodic_orbit_gate_pass,energy_trial_valid,out_of_training_support
1530000,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3334552693734947,0.7125986999841425,0.7625,0.050000000000000044,0.04997453522325183,2.5464776748175544e-05,0.004013547043238456,0.005132495618890971,0.2601939897984266,0.010193989798426617,0.04662725903988739,0.057270050048828125,0.026692824000602865,0.035432592034339905,0.01820807398259704,0.06848731101598705,1.0,0.8,0,0.75,60,0.029297049374630055,1.0,1.0,0.75,60,-0.02864693623657028,1.0,1.0,0.75,60,0.02049865530182918,1.0,1.0,0.8,64,-0.021506429533474147,1.0,0.8,0.008412562812066655,1,0,0
1530001,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33570523329649815,0.7142751927450924,0.7625,0.050000000000000044,0.04985940311938369,0.00014059688061631576,0.004093152561593646,0.005198737176833675,0.2609288239851594,0.010928823985159375,0.04185643708761565,0.05343914031982422,0.026807003497987588,0.03785119578242302,0.01891917749409655,0.06838087927531143,1.0,0.8,0,0.75,60,0.02930191488315662,1.0,1.0,0.75,60,-0.0287250821168224,1.0,1.0,0.75,60,0.02051973460863034,1.0,1.0,0.8,64,-0.021172074630158022,1.0,0.8,0.011362394201259408,1,0,0
1530002,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3322042611217233,0.7076606263011616,0.7625,0.050000000000000044,0.04996859153325203,3.1408466747970265e-05,0.003979193418733,0.005094610961386934,0.26033649798482655,0.010336497984826554,0.048560405877160526,0.05990566313266754,0.03016663915894661,0.037591274827718735,0.01850516958067631,0.06879191818061228,1.0,0.8,0,0.75,60,0.02929181025053064,1.0,1.0,0.75,60,-0.028579641661296288,1.0,1.0,0.75,60,0.02050674275184671,1.0,1.0,0.8,64,-0.021558988402830437,1.0,0.8,0.00765361384893938,1,0,0
1530003,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33591674878309086,0.7130992477193008,0.7625,0.050000000000000044,0.050054878083756194,5.487808375619074e-05,0.004073104480630718,0.005189058895921335,0.25962992012500763,0.00962992012500763,0.06264283596140208,0.0741729736328125,0.02798436318450292,0.03699789568781853,0.018788961626129246,0.06808916803805327,1.0,0.8,0,0.75,60,0.029491169999043148,1.0,1.0,0.75,60,-0.02865815715243419,1.0,1.0,0.75,60,0.020468907337635754,1.0,1.0,0.8,64,-0.021491521678399295,1.0,0.8,0.010872530024276916,1,0,0
1530004,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3302665512738735,0.697717135244508,0.7625,0.050000000000000044,0.04996056077846636,3.943922153364088e-05,0.003995082864033368,0.00510300746303983,0.2609768474474549,0.010976847447454918,0.04335380958078419,0.0542755126953125,0.02961331306652267,0.03658951446413994,0.01791063594194655,0.06833704956028568,1.0,0.8,0,0.75,60,0.029302196546147265,1.0,1.0,0.75,60,-0.028618682393183312,1.0,1.0,0.75,60,0.020463930318752925,1.0,1.0,0.8,64,-0.021536312298849225,1.0,0.8,0.008823611900934798,1,0,0
1530005,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3331772926074582,0.7039424779606203,0.7625,0.050000000000000044,0.049912859704151435,8.71402958485673e-05,0.003946055150299799,0.005063884673872963,0.2608407085761428,0.010840708576142777,0.048199808217807574,0.05866050720214844,0.02929920853284817,0.0378386490046978,0.018026574877581494,0.06898430036671943,1.0,0.8,0,0.75,60,0.02918919005120794,1.0,1.0,0.75,60,-0.028565978072583674,1.0,1.0,0.75,60,0.02050740976507465,1.0,1.0,0.8,64,-0.021563141519436613,1.0,0.8,0.010234059743315772,1,0,0
1530006,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3278314436065144,0.6994524888692013,0.7625,0.050000000000000044,0.05005683115353653,5.6831153536524015e-05,0.0038873176463918454,0.005004402940394357,0.2609191117808223,0.010919111780822277,0.04528741964597805,0.05561637878417969,0.027902670231762995,0.03622603416442871,0.017564183145913462,0.06839936747243096,1.0,0.8,0,0.75,60,0.029223303652058046,1.0,1.0,0.75,60,-0.028542340826243164,1.0,1.0,0.75,60,0.020519195590168238,1.0,1.0,0.8,64,-0.021828822238603607,1.0,0.8,0.007527555729179037,1,0,0
1530007,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33601069811245976,0.715401781535784,0.7625,0.050000000000000044,0.049869421855934584,0.00013057814406541857,0.004074078919560027,0.0051848165586125105,0.2611140377819538,0.0111140377819538,0.056220097571461194,0.0677499920129776,0.027247119599893264,0.03785119950771332,0.018942094427153798,0.06834612350273726,1.0,0.8,0,0.75,60,0.029276424180716278,1.0,1.0,0.75,60,-0.028714303051431973,1.0,1.0,0.75,60,0.02055490603670478,1.0,1.0,0.8,64,-0.02119321044301614,1.0,0.8,0.010606504736766978,1,0,0
1530008,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3353666238062776,0.7095241377214365,0.7625,0.050000000000000044,0.04999338233707628,6.617662923723289e-06,0.004022089866824293,0.005123573137680069,0.26022715363651516,0.010227153636515163,0.02404033975586058,0.035401344299316406,0.027985122930682522,0.03707280382514,0.018425924232566736,0.06772621494449234,1.0,0.8,0,0.75,60,0.029413229692727326,1.0,1.0,0.75,60,-0.02858361688752969,1.0,1.0,0.75,60,0.020426760800182818,1.0,1.0,0.8,64,-0.02156315729371272,1.0,0.8,0.01058462992974198,1,0,0
1530009,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3342509135342595,0.7099512769234033,0.7625,0.050000000000000044,0.04995881185944503,4.118814055497494e-05,0.0039937880714812,0.005112396237673238,0.26087820921093224,0.010878209210932244,0.046083963589927945,0.05654716491699219,0.027330901971607785,0.0366223007440567,0.01811925782712297,0.0681353188131219,1.0,0.8,0,0.75,60,0.029197090677917002,1.0,1.0,0.75,60,-0.028691730430970588,1.0,1.0,0.75,60,0.020553962606936694,1.0,1.0,0.8,64,-0.021474840003065765,1.0,0.8,0.010298522527134873,1,0,0
1530010,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.330362100098119,0.7029223287628252,0.7625,0.050000000000000044,0.050030571102009466,3.057110200946345e-05,0.0039304636894182,0.00504972597467713,0.2604863978922367,0.01048639789223671,0.050044275052087736,0.060459136962890625,0.028618245189732196,0.03660516440868378,0.017554917121667027,0.06840788010885301,1.0,0.8,0,0.75,60,0.029236844119926293,1.0,1.0,0.75,60,-0.02859567537282904,1.0,1.0,0.75,60,0.020498957484960556,1.0,1.0,0.8,64,-0.02172966522630304,1.0,0.8,0.007241388779232772,1,0,0
1530011,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33747375775786226,0.7134555125385812,0.7625,0.050000000000000044,0.050011477507844876,1.1477507844873114e-05,0.004112142983649391,0.0052206386241596195,0.25977211706340314,0.00977211706340314,0.041121011922455174,0.0527191162109375,0.02762575119921078,0.03810465708374977,0.018971244005166237,0.06768878433806927,1.0,0.8,0,0.75,60,0.02946236087009311,1.0,1.0,0.75,60,-0.02873206048582991,1.0,1.0,0.75,60,0.020482219693561395,1.0,1.0,0.8,64,-0.021346313966205344,1.0,0.8,0.010716913829799004,1,0,0
1530012,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33539378223585825,0.7122024208478428,0.7625,0.050000000000000044,0.050058943234034814,5.8943234034811165e-05,0.004086414246800511,0.005188339696032927,0.2594358058646321,0.009435805864632107,0.04938851123962721,0.061126817017793655,0.029924998811563224,0.03867598995566368,0.019107569886274843,0.06747730770432053,1.0,0.8,0,0.75,60,0.029460922908037902,1.0,1.0,0.75,60,-0.028709400662531456,1.0,1.0,0.75,60,0.020479092995325725,1.0,1.0,0.8,64,-0.021468469902174547,1.0,0.8,0.008352150207377073,1,0,0
1530013,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33388865853052957,0.7115802038209735,0.7625,0.050000000000000044,0.049968871701275924,3.112829872407852e-05,0.004090145986992866,0.005193921246100217,0.26076523717492817,0.010765237174928166,0.05531064237533337,0.06707096099853516,0.0279183151859249,0.03765193000435829,0.01881893401646904,0.06777272227521416,1.0,0.8,0,0.75,60,0.029377848282456397,1.0,1.0,0.75,60,-0.028725539706647395,1.0,1.0,0.75,60,0.02049843119457364,1.0,1.0,0.8,64,-0.021335924218874425,1.0,0.8,0.009551271714450662,1,0,0
1530014,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33719016240694466,0.7148376108232266,0.7625,0.050000000000000044,0.05011384455816975,0.00011384455816974837,0.004114487488307835,0.005225711703533307,0.25960474703460934,0.00960474703460934,0.05755611564666601,0.06924057006835938,0.02754603383633559,0.03762468323111534,0.018933582102680403,0.06753487772098735,1.0,0.8,0,0.75,60,0.02955724848434329,1.0,1.0,0.75,60,-0.02873478059967359,1.0,1.0,0.75,60,0.020490974187850952,1.0,1.0,0.8,64,-0.021444685844471678,1.0,0.8,0.01103045942765347,1,0,0
1530015,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3383877019702566,0.7161408076646643,0.7625,0.050000000000000044,0.050063479910992706,6.347991099270311e-05,0.004198987134926332,0.0053009411704260856,0.25923919677734375,0.00923919677734375,0.04757460382790283,0.06015205383300781,0.02718524054903175,0.036977723240852356,0.01947533970339215,0.06755266707681117,1.0,0.8,0,0.75,60,0.02968076067045331,1.0,1.0,0.75,60,-0.028736185965438685,1.0,1.0,0.75,60,0.02043233923614025,1.0,1.0,0.8,64,-0.02127767394995317,1.0,0.8,0.008493934983968256,1,0,0
1530016,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.333147705687135,0.71087587822053,0.7625,0.050000000000000044,0.05006683449222085,6.683449222084914e-05,0.004045301994968517,0.005156935196137056,0.2599629400297999,0.009962940029799916,0.06052478281418474,0.072174072265625,0.030940675975772634,0.03818584606051445,0.018790724798733737,0.06769668435498928,1.0,0.8,0,0.75,60,0.029387615931530792,1.0,1.0,0.75,60,-0.028711926254133383,1.0,1.0,0.75,60,0.020530983495215576,1.0,1.0,0.8,64,-0.021503143303561956,1.0,0.8,0.009344455181938969,1,0,0
1530017,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3353522080749043,0.7100425772679995,0.7625,0.050000000000000044,0.050072865918627946,7.28659186279429e-05,0.004110302608751226,0.0052173099340870974,0.25991762317717076,0.009917623177170765,0.04428836384667439,0.055899497121572495,0.02745967972309808,0.03758084774017334,0.0190187083359343,0.06753914308275655,1.0,0.8,0,0.75,60,0.029495664406567812,1.0,1.0,0.75,60,-0.028736007027328016,1.0,1.0,0.75,60,0.020482326112687587,1.0,1.0,0.8,64,-0.021431734290672466,1.0,0.8,0.009395713394912781,1,0,0
1530018,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33421767020278237,0.7107068380206663,0.7625,0.050000000000000044,0.05002524435791808,2.5244357918077776e-05,0.004073269384874341,0.005184994784649462,0.2606028184294701,0.010602818429470084,0.06255368686952112,0.07439708709716797,0.030781409043003125,0.03970421105623245,0.019014838178061037,0.06772811737977033,1.0,0.8,0,0.75,60,0.029359916473428407,1.0,1.0,0.75,60,-0.0287838455910484,1.0,1.0,0.75,60,0.02057086005806923,1.0,1.0,0.8,64,-0.02133586659329012,1.0,0.8,0.009140700568793188,1,0,0
1530019,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33626857937945254,0.7150924662525613,0.7625,0.050000000000000044,0.04998753072771554,1.2469272284459931e-05,0.00408392862494414,0.005194949874421582,0.26033548172563314,0.010335481725633144,0.05873857641618659,0.07028770446777344,0.02688936991313737,0.03704231604933739,0.01905274570313291,0.06788058930915829,1.0,0.8,0,0.75,60,0.029392421059310437,1.0,1.0,0.75,60,-0.028720953222364187,1.0,1.0,0.75,60,0.020517813942084708,1.0,1.0,0.8,64,-0.02134387323167175,1.0,0.8,0.011165469854151995,1,0,0
1530020,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.33348042410061557,0.710402444668557,0.7625,0.050000000000000044,0.05001949340221472,1.9493402214715294e-05,0.003986740526549208,0.005098502900218591,0.2597931968048215,0.009793196804821491,0.0341220093788909,0.044986724853515625,0.0288332435257058,0.036415357142686844,0.01791818709827316,0.06808663695713678,1.0,0.8,0,0.75,60,0.0293705303221941,1.0,1.0,0.75,60,-0.028547532049318154,1.0,1.0,0.75,60,0.020413412402073543,1.0,1.0,0.8,64,-0.021707512030843645,1.0,0.8,0.006914721232808692,1,0,0
1530021,0.05,0.25,0.4,walk,0.75,0,0,0,1.0,1,1,0.3354614719532569,0.7133964093757597,0.7625,0.050000000000000044,0.05000607852998656,6.078529986554282e-06,0.004135476856511862,0.005231129247695207,0.2599661637097597,0.009966163709759723,0.05912422699565523,0.0720224380493164,0.029947498141576073,0.03804295137524605,0.01948055953334886,0.0674675208450327,1.0,0.8,0,0.75,60,0.029562684148550032,1.0,1.0,0.75,60,-0.028679614576200645,1.0,1.0,0.75,60,0.020446923126777015,1.0,1.0,0.8,64,-0.021322935208445415,1.0,0.8,0.009422471311162924,1,0,0
